date,revenue,orders,customers
2024-08-18,9447.53,91,75
2024-08-19,14160.04,157,116
2024-08-20,13813.26,197,152
2024-08-21,12308.31,151,129
2024-08-22,18487.0,195,158
2024-08-23,15193.1,139,97
2024-08-24,6770.96,71,61
2024-08-25,11663.92,145,103
2024-08-26,12424.88,130,110
2024-08-27,15782.88,172,127
2024-08-28,12190.34,120,107
2024-08-29,13707.45,185,143
2024-08-30,15096.46,150,115
2024-08-31,13315.37,145,106
2024-09-01,8794.91,81,62
2024-09-02,13324.12,159,139
2024-09-03,13039.21,137,123
2024-09-04,12670.43,118,91
2024-09-05,18015.03,243,192
2024-09-06,15044.87,140,118
2024-09-07,8802.43,90,79
2024-09-08,13617.73,187,153
2024-09-09,18888.83,230,179
2024-09-10,16512.75,168,131
2024-09-11,10919.53,150,126
2024-09-12,13217.23,142,99
2024-09-13,17089.73,204,168
2024-09-14,10165.2,107,83
2024-09-15,12717.61,177,152
2024-09-16,16064.1,153,110
2024-09-17,12338.93,113,92
2024-09-18,14265.06,131,104
2024-09-19,7282.63,73,60
2024-09-20,12176.74,162,116
2024-09-21,11291.27,113,92
2024-09-22,9117.89,128,104
2024-09-23,18069.98,255,207
2024-09-24,11347.57,137,112
2024-09-25,13540.56,151,126
2024-09-26,14810.62,147,127
2024-09-27,17707.68,182,137
2024-09-28,8791.42,100,87
2024-09-29,14522.28,179,143
2024-09-30,14598.39,133,95
2024-10-01,12428.67,143,102
2024-10-02,15616.28,177,136
2024-10-03,15048.81,197,169
2024-10-04,13301.18,131,110
2024-10-05,12185.55,125,107
2024-10-06,11194.19,142,114
2024-10-07,14901.07,203,160
2024-10-08,16117.02,166,121
2024-10-09,18158.14,189,145
2024-10-10,11953.83,148,116
2024-10-11,19377.38,179,128
2024-10-12,7797.37,103,77
2024-10-13,11764.85,135,111
2024-10-14,15999.45,148,125
2024-10-15,15329.28,177,159
2024-10-16,13346.67,140,124
2024-10-17,14263.83,166,138
2024-10-18,13641.75,168,132
2024-10-19,10833.98,99,82
2024-10-20,14003.52,162,139
2024-10-21,15523.22,147,106
2024-10-22,13216.35,167,131
2024-10-23,16722.43,213,185
2024-10-24,15421.52,216,168
2024-10-25,16535.49,172,140
2024-10-26,13533.7,160,131
2024-10-27,10325.66,99,73
2024-10-28,13517.57,152,117
2024-10-29,16394.15,151,116
2024-10-30,16092.65,208,147
2024-10-31,14703.2,140,99
2024-11-01,15006.27,148,128
2024-11-02,14957.59,148,112
2024-11-03,10843.47,104,84
2024-11-04,15946.37,159,121
2024-11-05,14295.39,150,133
2024-11-06,14258.41,189,142
2024-11-07,17151.35,241,189
2024-11-08,16546.33,155,136
2024-11-09,13916.16,147,128
2024-11-10,14994.18,147,108
2024-11-11,14763.67,165,142
2024-11-12,16212.75,217,172
2024-11-13,14024.54,187,149
2024-11-14,15414.63,158,115
2024-11-15,14409.17,165,118
2024-11-16,12302.58,158,134
2024-11-17,13391.92,149,119
2024-11-18,12875.58,177,139
2024-11-19,19271.7,207,175
2024-11-20,12447.71,154,131
2024-11-21,11981.93,118,86
2024-11-22,17192.91,209,172
2024-11-23,13778.37,156,113
2024-11-24,13401.15,190,162
2024-11-25,16001.56,220,183
2024-11-26,14583.11,170,152
2024-11-27,12626.69,142,101
2024-11-28,14757.78,157,112
2024-11-29,13091.37,160,121
2024-11-30,14116.27,144,108
2024-12-01,11637.14,111,83
2024-12-02,12734.01,126,111
2024-12-03,13832.28,193,145
2024-12-04,15436.79,173,131
2024-12-05,13276.97,179,152
2024-12-06,12696.91,159,126
2024-12-07,12430.34,114,98
2024-12-08,12421.42,164,117
2024-12-09,13355.31,148,118
2024-12-10,13422.23,142,100
2024-12-11,14956.79,152,108
2024-12-12,11248.12,122,108
2024-12-13,11324.96,161,117
2024-12-14,10228.15,123,99
2024-12-15,11326.35,125,98
2024-12-16,15067.03,205,158
2024-12-17,17615.79,210,185
2024-12-18,16243.73,228,161
2024-12-19,13991.79,191,159
2024-12-20,14288.5,166,148
2024-12-21,9511.38,126,102
2024-12-22,11662.73,126,112
2024-12-23,13654.87,140,99
2024-12-24,14986.29,147,115
2024-12-25,12442.74,160,120
2024-12-26,15391.51,201,170
2024-12-27,17607.23,237,212
2024-12-28,11382.16,119,89
2024-12-29,12491.4,127,106
2024-12-30,15712.14,220,163
2024-12-31,13297.31,124,101
2025-01-01,14659.18,203,161
2025-01-02,14180.07,155,139
2025-01-03,14353.46,146,120
2025-01-04,9824.17,94,72
2025-01-05,11564.98,117,85
2025-01-06,15192.94,149,109
2025-01-07,17276.2,207,154
2025-01-08,16180.48,158,119
2025-01-09,18793.54,257,224
2025-01-10,12354.9,117,95
2025-01-11,13348.77,145,117
2025-01-12,11819.7,115,83
2025-01-13,18820.68,214,187
2025-01-14,12211.73,128,108
2025-01-15,12129.58,133,95
2025-01-16,12645.4,127,107
2025-01-17,9278.71,127,103
2025-01-18,10181.96,141,101
2025-01-19,9656.0,121,96
2025-01-20,14244.58,186,148
2025-01-21,14653.35,140,103
2025-01-22,18016.99,229,204
2025-01-23,15968.44,146,127
2025-01-24,12596.58,151,126
2025-01-25,9277.7,120,95
2025-01-26,12325.06,121,95
2025-01-27,10927.14,113,94
2025-01-28,17849.88,198,160
2025-01-29,16404.67,178,127
2025-01-30,12767.15,129,104
2025-01-31,10020.1,127,109
2025-02-01,14157.4,129,102
2025-02-02,10917.0,100,71
2025-02-03,16482.54,172,147
2025-02-04,10242.21,131,97
2025-02-05,12422.17,128,96
2025-02-06,13743.45,189,139
2025-02-07,13826.64,194,149
2025-02-08,10124.79,126,107
2025-02-09,12477.12,141,113
2025-02-10,11350.29,108,80
2025-02-11,13378.31,135,118
2025-02-12,13948.98,140,123
2025-02-13,14809.19,170,149
2025-02-14,15236.37,182,136
2025-02-15,8590.3,101,80
2025-02-16,7683.48,70,63
2025-02-17,16463.76,230,197
2025-02-18,14378.63,137,97
2025-02-19,11995.87,129,92
2025-02-20,17050.41,195,155
2025-02-21,13888.04,140,123
2025-02-22,13624.04,152,123
2025-02-23,11174.5,106,85
2025-02-24,18156.34,171,123
2025-02-25,17481.54,201,167
2025-02-26,13069.52,161,139
2025-02-27,15752.53,168,130
2025-02-28,15033.1,141,121
2025-03-01,14022.84,179,160
2025-03-02,8887.98,94,70
2025-03-03,15119.48,159,128
2025-03-04,15938.43,160,121
2025-03-05,9740.8,129,111
2025-03-06,11007.38,112,91
2025-03-07,9125.17,86,71
2025-03-08,10420.11,135,116
2025-03-09,12593.14,158,123
2025-03-10,16921.87,155,137
2025-03-11,13782.25,178,144
2025-03-12,17205.17,165,121
2025-03-13,10589.38,118,99
2025-03-14,9881.97,124,106
2025-03-15,10911.44,104,79
2025-03-16,11883.25,135,118
2025-03-17,13571.46,150,132
2025-03-18,9100.53,108,82
2025-03-19,13458.79,144,129
2025-03-20,10791.39,141,103
2025-03-21,15141.32,177,131
2025-03-22,11881.81,109,80
2025-03-23,9015.24,112,98
2025-03-24,12560.59,130,108
2025-03-25,11369.4,137,100
2025-03-26,13570.78,134,106
2025-03-27,15819.43,210,173
2025-03-28,11559.42,106,76
2025-03-29,12247.25,139,122
2025-03-30,9982.56,126,108
2025-03-31,12016.03,165,132
2025-04-01,13536.55,176,157
2025-04-02,11506.59,127,100
2025-04-03,12578.65,151,135
2025-04-04,11174.35,108,90
2025-04-05,15545.52,178,147
2025-04-06,11314.59,142,104
2025-04-07,12311.95,130,114
2025-04-08,14336.87,146,115
2025-04-09,13634.21,178,130
2025-04-10,13410.85,175,123
2025-04-11,15264.24,214,174
2025-04-12,12996.13,131,106
2025-04-13,10179.48,105,89
2025-04-14,12697.18,143,126
2025-04-15,13376.71,129,92
2025-04-16,8935.87,87,74
2025-04-17,10685.37,114,84
2025-04-18,17045.05,163,142
2025-04-19,15076.41,193,167
2025-04-20,10929.58,147,119
2025-04-21,15366.28,190,160
2025-04-22,14803.43,205,156
2025-04-23,20913.45,229,182
2025-04-24,16624.63,155,134
2025-04-25,13902.21,194,154
2025-04-26,9503.9,127,98
2025-04-27,8094.78,92,73
2025-04-28,14699.86,137,119
2025-04-29,12611.94,153,117
2025-04-30,11171.02,124,91
2025-05-01,12901.98,180,152
2025-05-02,11969.88,158,137
2025-05-03,15486.23,141,102
2025-05-04,13739.73,127,95
2025-05-05,14408.57,205,149
2025-05-06,17708.35,164,126
2025-05-07,14649.4,153,121
2025-05-08,12611.45,120,102
2025-05-09,17884.6,203,169
2025-05-10,13147.13,145,120
2025-05-11,9707.73,108,83
2025-05-12,14199.42,147,128
2025-05-13,12720.64,168,133
2025-05-14,11634.01,163,146
2025-05-15,16743.25,203,168
2025-05-16,18936.2,193,140
2025-05-17,9088.78,116,97
2025-05-18,13434.61,139,106
2025-05-19,13395.43,123,103
2025-05-20,13786.23,187,134
2025-05-21,13586.0,140,103
2025-05-22,13020.14,148,129
2025-05-23,15059.6,144,107
2025-05-24,10556.98,137,119
2025-05-25,13012.57,133,101
2025-05-26,14939.8,144,119
2025-05-27,14557.66,135,113
2025-05-28,13119.98,135,108
2025-05-29,13881.24,154,117
2025-05-30,16845.77,178,132
2025-05-31,13719.92,131,93
2025-06-01,10501.52,113,86
2025-06-02,15505.12,218,181
2025-06-03,16974.31,158,140
2025-06-04,11683.45,120,105
2025-06-05,16586.61,171,146
2025-06-06,13968.73,178,153
2025-06-07,14117.28,147,122
2025-06-08,11218.44,131,99
2025-06-09,11562.7,120,106
2025-06-10,11988.84,161,134
2025-06-11,15711.37,163,132
2025-06-12,16213.28,147,106
2025-06-13,13688.84,190,150
2025-06-14,14519.83,133,105
2025-06-15,9496.31,110,96
2025-06-16,15643.13,149,121
2025-06-17,13161.23,130,101
2025-06-18,14428.5,156,140
2025-06-19,16004.0,161,116
2025-06-20,14044.08,134,105
2025-06-21,12528.33,145,103
2025-06-22,15625.63,188,159
2025-06-23,14780.14,153,135
2025-06-24,17925.4,175,132
2025-06-25,13639.16,136,119
2025-06-26,17327.76,170,129
2025-06-27,19371.37,222,196
2025-06-28,8200.06,80,68
2025-06-29,11922.3,159,137
2025-06-30,17582.83,192,135
2025-07-01,15904.39,226,202
2025-07-02,17205.43,207,175
2025-07-03,15097.96,178,135
2025-07-04,16655.03,194,168
2025-07-05,13559.83,139,105
2025-07-06,16509.2,193,169
2025-07-07,17137.53,195,141
2025-07-08,17358.21,218,183
2025-07-09,15746.99,185,150
2025-07-10,15617.97,197,142
2025-07-11,15776.58,216,162
2025-07-12,15033.44,160,112
2025-07-13,13276.84,137,109
2025-07-14,17477.79,184,140
2025-07-15,21443.34,242,198
2025-07-16,18831.01,221,168
2025-07-17,16234.25,155,118
2025-07-18,19631.02,216,183
2025-07-19,13527.3,152,108
2025-07-20,9977.79,140,123
2025-07-21,14880.32,178,155
2025-07-22,13018.68,153,128
2025-07-23,16397.24,191,156
2025-07-24,17247.08,185,163
2025-07-25,20930.55,229,169
2025-07-26,15397.27,163,117
2025-07-27,14231.48,141,105
2025-07-28,19173.47,187,161
2025-07-29,12519.36,127,90
2025-07-30,17937.09,166,136
2025-07-31,19149.31,271,244
2025-08-01,14234.97,183,159
2025-08-02,17438.35,248,199
2025-08-03,15700.79,164,117
2025-08-04,16676.23,157,136
2025-08-05,19015.5,238,195
2025-08-06,22652.18,212,153
2025-08-07,18089.78,250,180
2025-08-08,18268.52,170,150
2025-08-09,14144.33,168,140
2025-08-10,13317.49,180,156
2025-08-11,19645.82,220,193
2025-08-12,15967.35,199,162
2025-08-13,18039.54,222,178
2025-08-14,16862.31,205,161
2025-08-15,18997.68,186,142
2025-08-16,16108.43,176,138
2025-08-17,17687.1,215,184
2025-08-18,16912.3,179,147
2025-08-19,17470.11,177,155
2025-08-20,15939.72,197,155
2025-08-21,17144.39,198,163
2025-08-22,18980.39,253,209
2025-08-23,17243.85,223,182
2025-08-24,13577.51,140,118
2025-08-25,20146.85,261,195
2025-08-26,21243.21,233,187
2025-08-27,19197.09,195,141
2025-08-28,22442.84,302,235
2025-08-29,16637.54,179,143
2025-08-30,13027.24,162,135
2025-08-31,11877.53,109,97
2025-09-01,21706.86,243,199
2025-09-02,19879.62,194,165
2025-09-03,18341.8,199,159
2025-09-04,19103.69,266,220
2025-09-05,16034.96,168,120
2025-09-06,21314.56,197,148
2025-09-07,16240.66,173,134
2025-09-08,18819.1,183,145
2025-09-09,20196.77,192,136
2025-09-10,19679.54,249,181
2025-09-11,19134.69,244,184
2025-09-12,16923.5,179,160
2025-09-13,17119.75,198,152
2025-09-14,20242.53,195,155
2025-09-15,21681.13,205,152
2025-09-16,22244.92,264,217
2025-09-17,17633.5,222,168
2025-09-18,16598.89,164,122
2025-09-19,18516.69,229,184
2025-09-20,16332.98,159,111
2025-09-21,18634.14,214,150
2025-09-22,15119.59,156,116
2025-09-23,22223.68,301,213
2025-09-24,18526.27,195,141
2025-09-25,17949.52,204,157
2025-09-26,16676.36,178,153
2025-09-27,12676.19,165,134
2025-09-28,18141.29,182,146
2025-09-29,19104.62,183,139
2025-09-30,16117.96,205,182
2025-10-01,16118.81,218,170
2025-10-02,18240.93,257,184
2025-10-03,22662.72,237,195
2025-10-04,15830.55,168,121
2025-10-05,13105.07,143,110
2025-10-06,18481.24,233,187
2025-10-07,18431.34,215,188
2025-10-08,13107.18,140,112
2025-10-09,18929.45,211,177
2025-10-10,18548.97,169,152
2025-10-11,17996.36,238,173
2025-10-12,20539.66,210,159
2025-10-13,21557.22,250,195
2025-10-14,18493.6,212,166
2025-10-15,16656.74,169,132
2025-10-16,24758.0,253,223
2025-10-17,19231.98,175,147
2025-10-18,16537.0,220,181
2025-10-19,16457.51,222,169
2025-10-20,19550.18,198,171
2025-10-21,18800.19,202,180
2025-10-22,17858.7,221,191
2025-10-23,17920.22,245,172
2025-10-24,19053.4,259,214
2025-10-25,15331.66,145,103
2025-10-26,14960.26,193,145
2025-10-27,19363.59,233,166
2025-10-28,18569.02,235,193
2025-10-29,22438.89,266,223
2025-10-30,13297.7,183,132
2025-10-31,21530.5,237,184
2025-11-01,19269.53,265,210
2025-11-02,11965.27,117,91
2025-11-03,18371.01,232,168
2025-11-04,18305.59,200,157
2025-11-05,16023.69,152,129
2025-11-06,17406.11,181,129
2025-11-07,16670.77,183,131
2025-11-08,20365.41,245,189
2025-11-09,18564.94,223,198
2025-11-10,21899.54,226,188
2025-11-11,20685.14,188,157
2025-11-12,16608.54,172,133
2025-11-13,17933.18,194,159
2025-11-14,20158.09,203,143
2025-11-15,13786.8,156,129
2025-11-16,18037.78,249,220
2025-11-17,18533.86,200,165
2025-11-18,18231.06,168,147
2025-11-19,20612.56,268,226
2025-11-20,20018.32,205,148
2025-11-21,18239.02,234,206
2025-11-22,18975.6,208,148
2025-11-23,14038.38,190,153
2025-11-24,20363.15,231,168
2025-11-25,20304.02,203,143
2025-11-26,18309.05,218,171
2025-11-27,19698.15,204,155
2025-11-28,16218.56,159,127
2025-11-29,18393.98,172,140
2025-11-30,15944.22,201,142
2025-12-01,17790.67,207,150
2025-12-02,21237.92,279,226
2025-12-03,17369.77,158,121
2025-12-04,15809.73,148,125
2025-12-05,15472.58,169,140
2025-12-06,17619.01,170,148
2025-12-07,13457.29,148,124
2025-12-08,22723.04,239,188
2025-12-09,14270.34,194,162
2025-12-10,22570.72,225,170
2025-12-11,19290.52,257,196
2025-12-12,18601.14,181,155
2025-12-13,15002.56,148,117
2025-12-14,17066.82,174,150
2025-12-15,18693.14,262,226
2025-12-16,21190.29,258,225
2025-12-17,19001.31,236,208
2025-12-18,19067.55,226,178
2025-12-19,17923.71,244,186
2025-12-20,15985.06,149,122
2025-12-21,16774.1,182,141
2025-12-22,14921.09,181,148
2025-12-23,15703.91,183,154
2025-12-24,20291.49,231,194
2025-12-25,19018.56,202,157
2025-12-26,18224.18,201,147
2025-12-27,16055.76,150,118
2025-12-28,16766.11,187,136
2025-12-29,17400.16,159,140
2025-12-30,16861.55,162,125
