customer_id,revenue,age,customer_segment
10243,129.61,34,Retail
10244,801.68,61,SMB
10245,912.95,37,Retail
10246,429.01,53,SMB
10247,1146.88,26,Retail
10248,1002.43,55,Enterprise
10249,579.82,65,SMB
10250,837.62,74,SMB
10251,719.31,39,Retail
10252,105.35,71,Retail
10253,337.57,70,SMB
10254,602.76,70,Retail
10255,946.24,19,SMB
10256,148.24,41,Enterprise
10257,111.02,25,Retail
10258,386.55,28,SMB
10259,77.23,30,Enterprise
10260,378.56,34,Enterprise
10261,496.69,25,SMB
10262,211.12,38,Retail
10263,384.84,35,SMB
10264,682.54,47,Enterprise
10265,283.67,35,SMB
10266,235.52,63,Retail
10267,374.35,64,Enterprise
10268,196.23,48,SMB
10269,1100.07,55,Retail
10270,408.7,49,Enterprise
10271,251.92,28,Retail
10272,454.74,62,Enterprise
10273,373.11,42,SMB
10274,348.28,50,Retail
10275,283.62,55,Enterprise
10276,274.88,58,Retail
10277,131.81,25,Retail
10278,836.92,28,SMB
10279,558.5,39,Retail
10280,481.19,68,Enterprise
10281,369.48,41,Enterprise
10282,208.63,58,Enterprise
10283,241.86,34,Enterprise
10284,142.97,29,SMB
10285,261.61,74,Retail
10286,189.26,63,SMB
10287,971.92,49,Retail
10288,657.15,32,Retail
10289,419.25,33,Retail
10290,223.95,71,SMB
10291,195.93,39,Retail
10292,355.16,45,SMB
10293,672.46,37,Enterprise
10294,145.92,50,Enterprise
10295,554.35,27,Retail
10296,260.86,57,SMB
10297,292.15,49,Enterprise
10298,412.0,67,SMB
10299,229.03,50,SMB
10300,344.28,19,Retail
10301,216.33,50,Enterprise
10302,274.7,50,Retail
10303,615.03,58,Retail
10304,424.83,30,Enterprise
10305,613.72,47,Enterprise
10306,258.65,50,SMB
10307,556.68,30,Enterprise
10308,119.11,69,SMB
10309,411.89,43,SMB
10310,577.7,39,SMB
10311,115.44,56,Enterprise
10312,260.64,19,Retail
10313,411.72,55,SMB
10314,700.59,56,Retail
10315,274.68,43,Retail
10316,544.32,63,Enterprise
10317,867.21,75,Retail
10318,558.66,67,Retail
10319,352.3,32,Enterprise
10320,497.97,51,SMB
10321,269.54,59,Retail
10322,421.59,72,Enterprise
10323,363.07,61,Retail
10324,488.53,66,Retail
10325,307.36,57,SMB
10326,504.61,28,Retail
10327,305.49,20,Enterprise
10328,653.57,23,Retail
10329,325.34,26,SMB
10330,79.66,23,SMB
10331,200.4,26,Enterprise
10332,404.53,56,SMB
10333,967.19,48,Retail
10334,639.5,49,SMB
10335,66.06,58,Enterprise
10336,136.14,67,SMB
10337,750.66,29,SMB
10338,575.88,25,SMB
10339,1253.84,25,Enterprise
10340,297.7,67,SMB
10341,225.86,45,SMB
10342,417.79,37,Retail
10343,294.04,64,Enterprise
10344,711.77,24,SMB
10345,287.63,28,Enterprise
10346,337.47,37,SMB
10347,204.96,33,SMB
10348,615.55,21,SMB
10349,213.97,23,Retail
10350,510.06,75,Retail
10351,1058.33,39,Retail
10352,103.35,43,Enterprise
10353,889.75,20,Enterprise
10354,472.57,58,Retail
10355,182.8,59,Enterprise
10356,427.4,31,SMB
10357,605.41,28,SMB
10358,235.94,35,SMB
10359,526.96,71,Retail
10360,930.92,29,Enterprise
10361,287.39,40,Retail
10362,203.27,29,Enterprise
10363,369.97,30,SMB
10364,413.81,42,Retail
10365,732.34,62,Enterprise
10366,362.53,68,Enterprise
10367,304.28,75,SMB
10368,199.78,36,Retail
10369,116.15,72,Retail
10370,159.92,63,Retail
10371,159.24,53,SMB
10372,339.72,62,Retail
10373,133.22,25,SMB
10374,386.85,46,SMB
10375,1045.34,72,SMB
10376,744.27,70,Enterprise
10377,337.68,72,Retail
10378,1419.43,49,Retail
10379,414.68,68,SMB
10380,450.51,61,SMB
10381,365.67,35,Retail
10382,392.03,23,SMB
10383,281.11,35,Retail
10384,340.74,36,Enterprise
10385,893.08,39,SMB
10386,789.45,54,Retail
10387,76.75,49,SMB
10388,144.8,73,Retail
10389,238.12,58,Retail
10390,675.76,20,SMB
10391,799.3,45,Enterprise
10392,604.09,27,Retail
10393,182.28,68,Retail
10394,284.78,52,Retail
10395,532.24,46,Enterprise
10396,343.97,71,Enterprise
10397,315.03,32,SMB
10398,317.94,50,Enterprise
10399,756.48,24,SMB
10400,563.58,29,SMB
10401,328.87,66,Enterprise
10402,485.32,47,SMB
10403,165.14,38,Enterprise
10404,285.14,48,SMB
10405,715.9,75,Enterprise
10406,127.03,41,Enterprise
10407,567.56,37,SMB
10408,76.05,54,Retail
10409,976.05,21,SMB
10410,280.82,45,Enterprise
10411,505.95,61,Retail
10412,428.64,37,SMB
10413,437.96,41,SMB
10414,480.23,67,SMB
10415,110.31,66,Retail
10416,443.33,68,Enterprise
10417,356.6,49,SMB
10418,281.82,58,SMB
10419,238.04,53,SMB
10420,449.92,75,SMB
10421,205.02,70,SMB
10422,708.76,51,Enterprise
10423,527.29,53,Enterprise
10424,466.05,19,SMB
10425,692.22,32,Retail
10426,97.3,51,Enterprise
10427,161.31,53,Retail
10428,540.67,23,Enterprise
10429,247.26,56,SMB
10430,268.13,59,Enterprise
10431,144.91,68,SMB
10432,205.42,68,Enterprise
10433,717.58,75,SMB
10434,533.41,71,SMB
10435,447.01,29,SMB
10436,274.92,20,SMB
10437,430.64,62,Retail
10438,752.72,35,SMB
10439,251.3,57,Retail
10440,391.49,38,Retail
10441,1009.43,32,SMB
10442,599.61,50,Retail
10443,277.44,52,Enterprise
10444,572.46,43,SMB
10445,125.48,25,Retail
10446,382.04,53,SMB
10447,572.11,65,SMB
10448,500.54,47,SMB
10449,568.98,40,Retail
10450,641.01,59,Enterprise
10451,523.35,61,Enterprise
10452,514.73,31,Retail
10453,453.06,31,SMB
10454,189.33,19,Retail
10455,717.4,72,Retail
10456,390.39,54,Retail
10457,591.23,22,SMB
10458,676.66,55,Retail
10459,286.44,62,SMB
10460,302.73,58,Retail
10461,328.95,71,Enterprise
10462,793.18,64,Retail
10463,218.45,31,Retail
10464,869.43,73,Enterprise
10465,450.1,56,SMB
10466,469.04,42,SMB
10467,659.88,37,Retail
10468,420.5,19,Enterprise
10469,721.87,56,SMB
10470,286.2,23,Retail
10471,854.05,34,Enterprise
10472,300.5,42,SMB
10473,872.07,74,SMB
10474,305.65,45,Enterprise
10475,334.87,19,Enterprise
10476,201.01,52,Enterprise
10477,239.86,54,Enterprise
10478,391.56,22,Retail
10479,460.16,18,Enterprise
10480,692.8,57,SMB
10481,349.84,29,SMB
10482,183.2,73,Retail
10483,501.17,53,SMB
10484,442.17,62,SMB
10485,533.16,40,Enterprise
10486,263.24,64,SMB
10487,283.52,48,Retail
10488,263.3,28,Enterprise
10489,767.66,27,Enterprise
10490,858.59,20,Retail
10491,275.85,71,Enterprise
10492,279.41,31,Enterprise
10493,575.93,33,Retail
10494,911.41,27,Enterprise
10495,1020.86,46,Retail
10496,500000.0,35,Retail
10497,250000.0,42,SMB
10498,180000.0,29,SMB
10499,450.5,165,Enterprise
10500,620.0,195,Enterprise
