customer_id,revenue,transactions,tenure_days
1000243,448.53,66,306
1000244,691.53,27,826
1000245,57.95,67,272
1000246,163.79,4,426
1000247,138.39,57,1737
1000248,111.72,5,1586
1000249,2035.6,90,1622
1000250,397.81,63,650
1000251,53.89,43,1216
1000252,736.15,67,1644
1000253,3123.12,41,1674
1000254,844.68,83,1578
1000255,39.52,7,327
1000256,136.85,40,218
1000257,1119.11,6,1324
1000258,104.67,4,1763
1000259,416.79,34,495
1000260,619.9,51,1641
1000261,80.45,87,1539
1000262,227.82,35,144
1000263,5.01,15,769
1000264,71.57,30,162
1000265,180.71,94,1183
1000266,54.74,38,826
1000267,1735.23,85,110
1000268,43.98,80,1463
1000269,144.31,62,267
1000270,286.26,69,1321
1000271,1379.57,49,396
1000272,43.68,66,1594
1000273,988.11,83,439
1000274,247.72,7,684
1000275,75.35,98,1455
1000276,426.04,67,1654
1000277,310.71,82,1768
1000278,119.07,11,1660
1000279,266.07,55,1435
1000280,154.1,93,1460
1000281,280.4,72,766
1000282,541.62,83,209
1000283,1641.26,39,1154
1000284,55.4,94,1558
1000285,3164.15,83,267
1000286,23.51,61,544
1000287,203.95,44,69
1000288,495.7,45,1119
1000289,342.81,68,1652
1000290,115.9,39,1354
1000291,190.61,71,647
1000292,135.42,23,1317
1000293,120.63,92,1684
1000294,678.25,83,960
1000295,375.56,85,693
1000296,106.54,69,450
1000297,720.19,35,1114
1000298,353.81,1,632
1000299,649.0,78,1443
1000300,520.9,87,889
1000301,90.49,41,1381
1000302,124.93,14,663
1000303,599.89,91,1423
1000304,509.0,37,627
1000305,238.63,89,1624
1000306,281.69,21,644
1000307,1133.65,8,337
1000308,120.32,78,482
1000309,471.78,56,1601
1000310,191.98,62,513
1000311,188.44,36,1543
1000312,914.64,84,690
1000313,658.85,36,183
1000314,649.51,93,1201
1000315,1172.13,53,702
1000316,250.94,43,94
1000317,554.65,1,725
1000318,168.63,62,1245
1000319,361.04,89,848
1000320,209.31,42,307
1000321,274.9,76,1654
1000322,499.79,44,689
1000323,91.66,58,1761
1000324,3013.52,87,134
1000325,73.17,85,1061
1000326,57.0,86,428
1000327,982.14,65,1108
1000328,632.7,14,1156
1000329,517.47,26,409
1000330,520.1,95,1335
1000331,241.12,28,1334
1000332,83.37,84,857
1000333,267.99,78,697
1000334,108.57,92,1235
1000335,788.51,55,951
1000336,205.11,61,1084
1000337,90.87,46,1391
1000338,166.39,15,607
1000339,401.62,94,1263
1000340,124.4,67,1138
1000341,91.23,91,434
1000342,327.81,44,215
1000343,328.31,97,494
1000344,133.18,78,475
1000345,139.04,19,176
1000346,323.26,96,953
1000347,43.05,47,1761
1000348,45.2,36,532
1000349,103.32,18,591
1000350,189.4,67,466
1000351,355.34,94,317
1000352,1437.16,32,1549
1000353,684.84,9,187
1000354,201.96,94,1404
1000355,239.17,13,830
1000356,73.48,27,324
1000357,239.32,85,1134
1000358,173.06,38,1615
1000359,360.42,87,731
1000360,90.68,83,1592
1000361,456.33,66,1416
1000362,1539.61,20,1626
1000363,214.75,52,544
1000364,396.25,38,747
1000365,560.13,34,457
1000366,151.19,36,1480
1000367,320.19,15,1719
1000368,248.42,91,754
1000369,275.12,30,296
1000370,96.77,93,272
1000371,252.0,56,928
1000372,444.79,17,158
1000373,1396.01,9,944
1000374,773.65,98,1654
1000375,3241.59,68,251
1000376,97.43,22,408
1000377,697.0,7,1153
1000378,304.91,57,1575
1000379,3387.22,45,1204
1000380,92.76,1,71
1000381,89.33,21,380
1000382,119.19,68,1637
1000383,19.13,75,532
1000384,130.2,83,649
1000385,98.4,29,137
1000386,293.09,11,1556
1000387,368.75,51,1053
1000388,2324.84,83,1789
1000389,765.48,64,448
1000390,122.45,33,351
1000391,83.25,49,459
1000392,441.56,23,384
1000393,50.19,18,392
1000394,2203.39,71,1392
1000395,1007.6,6,367
1000396,139.35,26,1768
1000397,31.32,36,146
1000398,1242.21,27,1111
1000399,213.27,49,1607
1000400,1080.72,70,1434
1000401,36.11,47,1493
1000402,119.19,78,773
1000403,246.24,41,689
1000404,258.88,1,471
1000405,142.58,22,1009
1000406,516.68,20,361
1000407,67.96,56,1148
1000408,206.26,3,529
1000409,282.69,30,318
1000410,453.65,73,1241
1000411,574.75,73,1132
1000412,63.46,17,977
1000413,38.82,85,405
1000414,1133.67,32,424
1000415,364.59,84,1667
1000416,99.67,78,1353
1000417,1574.01,49,192
1000418,281.13,14,78
1000419,1007.43,32,542
1000420,265.34,93,1562
1000421,2901.25,30,160
1000422,2011.04,88,1556
1000423,181.5,59,1566
1000424,785.16,29,593
1000425,530.83,88,889
1000426,1264.41,96,843
1000427,76.87,60,1663
1000428,557.39,95,223
1000429,871.41,90,349
1000430,29.65,59,1696
1000431,59.15,25,1347
1000432,21.18,6,114
1000433,177.1,23,1573
1000434,578.85,2,552
1000435,1484.49,67,355
1000436,267.44,57,286
1000437,1727.34,20,1050
1000438,46.71,35,861
1000439,31.69,71,111
1000440,228.91,57,1206
1000441,387.95,93,102
1000442,235.28,57,605
1000443,20.47,41,1629
1000444,219.87,45,677
1000445,51.14,46,1237
1000446,546.54,50,366
1000447,379.9,43,1092
1000448,79.21,68,548
1000449,132.07,94,640
1000450,68.64,62,182
1000451,226.96,4,503
1000452,769.83,48,246
1000453,74.97,23,915
1000454,448.03,97,575
1000455,129.5,80,322
1000456,94.5,8,204
1000457,215.2,89,502
1000458,70.65,13,565
1000459,125.92,43,120
1000460,58.12,78,132
1000461,2585.49,39,1769
1000462,255.27,78,1661
1000463,105.67,15,985
1000464,316.33,39,1057
1000465,213.84,3,1206
1000466,187.7,44,386
1000467,511.32,61,567
1000468,607.29,75,286
1000469,129.46,61,436
1000470,122.61,90,1162
1000471,175.9,93,313
1000472,15.45,70,395
1000473,39.72,1,1716
1000474,1261.74,96,887
1000475,1761.57,55,1632
1000476,181.48,60,1743
1000477,488.76,85,468
1000478,355.49,26,1058
1000479,9844.39,34,398
1000480,937.76,60,1286
1000481,209.87,72,1331
1000482,77.74,51,972
1000483,35.6,57,1267
1000484,312.36,72,67
1000485,98.73,96,1232
1000486,44.4,26,729
1000487,112.63,33,313
1000488,66.83,34,1083
1000489,1853.02,43,1296
1000490,704.84,96,1564
1000491,242.36,38,1727
1000492,1445.1,67,827
1000493,268.5,93,883
1000494,87.05,16,503
1000495,1521.95,74,366
1000496,467.17,37,979
1000497,70.48,46,1117
1000498,194.73,27,1039
1000499,85.56,31,251
1000500,46.56,17,1574
1000501,743.53,25,1703
1000502,2419.46,22,395
1000503,45.68,63,1592
1000504,480.85,47,403
1000505,112.08,54,482
1000506,136.38,77,1720
1000507,120.2,95,246
1000508,86.77,96,1664
1000509,259.36,7,42
1000510,90.27,9,646
1000511,338.51,20,1545
1000512,230.38,32,1320
1000513,183.69,97,1313
1000514,82.35,79,1617
1000515,122.47,46,159
1000516,605.75,30,580
1000517,446.35,80,486
1000518,75.71,36,965
1000519,275.67,59,767
1000520,602.85,54,1628
1000521,33.01,16,317
1000522,469.67,4,1635
1000523,110.48,42,83
1000524,485.28,49,1385
1000525,97.91,62,1626
1000526,28.05,56,977
1000527,34.71,43,1109
1000528,259.23,26,792
1000529,334.18,52,1502
1000530,82.67,71,436
1000531,526.53,43,1632
1000532,33.32,66,949
1000533,226.04,83,996
1000534,57.21,70,955
1000535,111.92,75,679
1000536,259.01,6,526
1000537,87.14,10,1438
1000538,154.24,38,1638
1000539,818.56,1,448
1000540,122.45,44,333
1000541,667.03,97,1721
1000542,63.08,86,1040
1000543,462.09,64,1762
1000544,1380.06,24,406
1000545,12.6,62,1219
1000546,94.04,29,1378
1000547,489.06,79,671
1000548,191.78,45,1281
1000549,381.98,45,1081
1000550,118.54,49,1460
1000551,271.49,59,1252
1000552,203.0,39,1662
1000553,993.6,67,1268
1000554,332.06,27,1570
1000555,366.91,8,964
1000556,149.27,94,1176
1000557,136.3,93,1690
1000558,145.61,38,1724
1000559,392.82,32,1337
1000560,147.65,3,1494
1000561,346.45,84,987
1000562,2952.72,53,459
1000563,696.0,49,836
1000564,165.47,73,921
1000565,1034.28,23,1481
1000566,149.95,7,1254
1000567,21.21,89,1117
1000568,72.99,88,236
1000569,25.92,89,200
1000570,160.48,32,941
1000571,250.16,92,446
1000572,1829.37,76,1357
1000573,362.24,44,615
1000574,188.12,7,258
1000575,662.01,60,798
1000576,17.23,21,1475
1000577,324.65,4,166
1000578,617.1,3,1218
1000579,41.5,94,1704
1000580,965.36,26,1107
1000581,367.31,9,1715
1000582,148.66,41,875
1000583,522.87,69,850
1000584,3732.49,70,983
1000585,304.37,87,136
1000586,329.6,44,410
1000587,141.0,10,724
1000588,88.25,59,134
1000589,662.75,62,763
1000590,87.59,1,355
1000591,266.63,1,413
1000592,137.94,28,674
1000593,434.75,3,1173
1000594,365.18,44,161
1000595,849.84,1,809
1000596,132.69,19,543
1000597,177.0,24,731
1000598,75.6,16,1698
1000599,143.57,12,1649
1000600,384.81,88,1545
1000601,606.91,81,1234
1000602,80.92,35,133
1000603,694.73,82,425
1000604,1244.84,76,1614
1000605,401.87,78,574
1000606,2326.58,59,140
1000607,96.68,2,871
1000608,54.95,42,370
1000609,28.95,91,144
1000610,1473.29,8,400
1000611,536.59,66,1484
1000612,228.9,48,197
1000613,342.39,28,958
1000614,63.4,64,663
1000615,4605.02,70,1581
1000616,285.74,54,807
1000617,279.02,94,972
1000618,584.6,88,500
1000619,435.81,73,359
1000620,320.11,71,1793
1000621,94.77,9,299
1000622,430.85,4,680
1000623,2341.22,58,116
1000624,1229.67,73,1235
1000625,1655.44,4,1022
1000626,132.49,1,1387
1000627,74.62,10,1797
1000628,210.41,57,1184
1000629,261.61,67,793
1000630,909.62,73,1463
1000631,32.11,47,279
1000632,1533.73,92,222
1000633,202.43,84,1031
1000634,146.61,95,786
1000635,72.64,76,564
1000636,33.59,40,481
1000637,657.08,47,1459
1000638,267.2,79,1615
1000639,52.04,89,1741
1000640,51.72,33,1205
1000641,163.54,4,808
1000642,1813.16,6,841
1000643,179.2,71,845
1000644,40.3,92,666
1000645,182.2,21,882
1000646,176.4,27,1325
1000647,9.62,38,799
1000648,229.26,73,1429
1000649,185.47,38,1245
1000650,564.22,58,1049
1000651,2250.14,29,275
1000652,945.66,24,147
1000653,177.21,97,648
1000654,64.86,16,1645
1000655,5367.04,90,280
1000656,262.71,39,1631
1000657,248.82,47,991
1000658,237.71,51,1792
1000659,310.35,66,461
1000660,205.77,36,1702
1000661,122.93,56,1688
1000662,126.95,27,1639
1000663,235.26,11,720
1000664,127.47,98,1095
1000665,104.02,50,971
1000666,278.03,32,1307
1000667,180.19,48,933
1000668,1487.41,28,728
1000669,10.16,14,304
1000670,906.7,5,1506
1000671,1091.49,4,1540
1000672,20.33,85,1473
1000673,162.19,24,249
1000674,156.69,62,563
1000675,45.19,10,1799
1000676,96.22,87,544
1000677,64.54,74,344
1000678,2003.65,74,71
1000679,752.06,65,720
1000680,1125.37,87,1403
1000681,581.73,50,1466
1000682,63.13,60,840
1000683,130.4,31,189
1000684,440.21,26,1067
1000685,56.46,10,1746
1000686,575.71,69,659
1000687,183.39,2,967
1000688,156.06,90,856
1000689,574.3,64,1379
1000690,417.01,68,1578
1000691,158.67,46,568
1000692,983.58,35,545
1000693,66.87,97,1015
1000694,512.41,19,1363
1000695,498.56,81,1082
1000696,168.77,37,1708
1000697,361.9,63,344
1000698,54.53,73,979
1000699,741.62,11,1201
1000700,196.0,89,906
1000701,130.68,4,804
1000702,861.62,60,1108
1000703,105.09,97,1431
1000704,45.14,48,860
1000705,37.79,90,1111
1000706,506.34,8,403
1000707,52.64,88,1385
1000708,2009.72,36,1765
1000709,20.12,18,1271
1000710,1873.84,50,90
1000711,315.2,34,400
1000712,217.88,72,1119
1000713,127.24,83,497
1000714,395.03,73,1721
1000715,233.89,93,1755
1000716,919.62,1,936
1000717,280.64,71,1450
1000718,293.06,41,1222
1000719,158.17,19,341
1000720,228.53,2,827
1000721,354.02,82,967
1000722,31.43,3,821
1000723,48.53,4,853
1000724,597.0,63,838
1000725,300.38,91,1597
1000726,196.22,77,714
1000727,250.17,62,1514
1000728,371.33,1,1779
1000729,128.03,31,1111
1000730,96.16,19,523
1000731,309.52,10,1326
1000732,75.64,92,553
1000733,399.38,17,825
1000734,31.72,64,1148
1000735,841.33,51,1460
1000736,431.44,7,147
1000737,332.7,31,579
1000738,795.71,12,68
1000739,1805.46,63,813
1000740,826.54,84,1754
1000741,26.87,68,1388
1000742,52.69,7,1075
1000743,115.61,10,485
1000744,252.47,92,1612
1000745,455.41,65,523
1000746,102.42,86,63
1000747,306.16,41,338
1000748,98.84,91,757
1000749,117.47,88,293
1000750,45.24,43,1275
1000751,80.81,94,1092
1000752,48.33,6,1490
1000753,75.86,34,30
1000754,866.42,84,321
1000755,78.31,32,1630
1000756,5760.95,30,385
1000757,442.3,6,1651
1000758,305.46,50,1038
1000759,87.35,86,625
1000760,567.01,63,110
1000761,122.64,73,1036
1000762,283.27,12,971
1000763,5282.22,39,1254
1000764,218.05,77,881
1000765,971.78,44,543
1000766,105.23,40,1786
1000767,234.63,48,1327
1000768,2048.7,47,100
1000769,115.31,12,1119
1000770,2153.69,46,1224
1000771,572.09,97,732
1000772,124.59,60,663
1000773,522.64,74,1384
1000774,786.09,76,34
1000775,516.03,69,603
1000776,37.18,50,1776
1000777,102.25,62,482
1000778,181.81,79,1216
1000779,223.78,73,1062
1000780,515.33,68,1177
1000781,302.85,49,1169
1000782,49.28,72,432
1000783,386.15,62,1567
1000784,509.13,92,743
1000785,479.02,31,555
1000786,895.1,36,1187
1000787,665.61,48,766
1000788,424.54,13,1702
1000789,224.93,28,353
1000790,33.34,46,679
1000791,409.75,46,1024
1000792,313.95,11,1621
1000793,338.96,74,119
1000794,52.87,23,1655
1000795,66.87,25,399
1000796,865.91,28,1240
1000797,233.35,73,1329
1000798,554.35,47,857
1000799,253.15,72,939
1000800,253.59,39,1338
1000801,754.41,22,987
1000802,131.73,32,563
1000803,274.61,3,1565
1000804,140.51,54,1483
1000805,145.27,78,1542
1000806,168.85,95,789
1000807,319.44,51,1607
1000808,137.76,39,931
1000809,1104.23,49,926
1000810,83.64,23,1526
1000811,195.54,69,798
1000812,144.36,24,374
1000813,1389.05,44,746
1000814,309.78,32,1558
1000815,844.05,51,1467
1000816,41.15,26,798
1000817,337.13,22,1070
1000818,711.63,45,468
1000819,270.09,83,251
1000820,878.82,29,1607
1000821,131.53,52,369
1000822,1327.72,81,951
1000823,3860.99,67,1016
1000824,158.32,45,818
1000825,143.37,88,316
1000826,1399.77,11,1321
1000827,1628.62,85,310
1000828,130.66,35,728
1000829,147.79,52,611
1000830,174.49,3,973
1000831,48.75,50,535
1000832,81.26,8,66
1000833,73.33,46,569
1000834,97.38,63,1756
1000835,234.72,49,1212
1000836,324.1,37,1554
1000837,1572.78,44,335
1000838,73.85,43,232
1000839,797.26,75,203
1000840,189.28,55,478
1000841,230.59,92,117
1000842,549.93,12,1247
1000843,63.61,16,203
1000844,387.18,81,774
1000845,298.79,39,1282
1000846,441.84,44,901
1000847,346.2,1,1439
1000848,4658.09,6,1374
1000849,113.83,5,134
1000850,129.39,27,1616
1000851,115.84,83,1511
1000852,125.64,57,1335
1000853,113.88,88,1683
1000854,1019.25,53,38
1000855,1345.61,32,544
1000856,123.36,37,601
1000857,90.12,42,1780
1000858,430.82,61,1111
1000859,126.13,5,1643
1000860,522.97,81,455
1000861,312.16,56,864
1000862,39.69,72,70
1000863,1567.14,1,222
1000864,2111.29,79,238
1000865,117.29,36,625
1000866,153.66,57,557
1000867,344.83,15,998
1000868,365.53,36,815
1000869,539.29,32,571
1000870,2730.51,72,613
1000871,197.88,24,255
1000872,93.88,83,1195
1000873,46.75,7,746
1000874,101.79,84,706
1000875,235.16,60,1144
1000876,2107.95,58,1131
1000877,131.48,10,38
1000878,320.07,74,41
1000879,239.92,21,1647
1000880,1018.49,41,954
1000881,5076.2,66,1742
1000882,129.41,25,281
1000883,136.0,76,1024
1000884,856.62,12,1598
1000885,554.61,31,578
1000886,2244.08,39,514
1000887,493.1,55,1234
1000888,158.99,50,1440
1000889,497.1,94,1680
1000890,925.6,52,1791
1000891,654.96,60,758
1000892,449.77,28,490
1000893,880.08,61,1454
1000894,995.41,45,919
1000895,1285.1,47,1070
1000896,532.96,31,936
1000897,200.23,18,1094
1000898,291.8,49,183
1000899,1040.87,58,1335
1000900,91.81,44,1136
1000901,380.85,73,1172
1000902,152.63,1,1439
1000903,253.28,77,591
1000904,1134.72,73,1661
1000905,307.76,23,700
1000906,258.71,91,1199
1000907,47.85,82,1463
1000908,599.15,86,776
1000909,530.9,5,798
1000910,3281.01,67,901
1000911,169.13,25,1666
1000912,318.3,86,346
1000913,330.06,58,533
1000914,1624.48,84,639
1000915,218.25,84,1121
1000916,342.01,50,926
1000917,507.49,16,1051
1000918,306.11,89,1122
1000919,143.21,78,830
1000920,308.87,69,260
1000921,887.46,18,1586
1000922,71.39,65,1351
1000923,287.02,45,699
1000924,105.62,57,1056
1000925,1026.65,91,842
1000926,39.34,42,1224
1000927,125.12,35,1549
1000928,384.77,4,1399
1000929,1601.39,41,620
1000930,226.13,80,1368
1000931,125.68,18,391
1000932,2338.79,1,1154
1000933,43.05,88,431
1000934,17.49,96,935
1000935,414.89,62,1481
1000936,133.96,30,950
1000937,71.85,48,1308
1000938,572.51,75,405
1000939,327.85,25,723
1000940,124.35,98,824
1000941,52.65,56,527
1000942,697.11,27,331
1000943,533.92,44,82
1000944,217.24,54,1023
1000945,2243.89,30,358
1000946,67.76,91,746
1000947,39.23,23,1092
1000948,106.67,78,1157
1000949,231.67,85,790
1000950,327.67,40,1545
1000951,183.19,39,800
1000952,373.33,38,1498
1000953,54.5,81,901
1000954,1383.7,9,916
1000955,221.72,66,1163
1000956,935.19,80,400
1000957,369.17,15,1589
1000958,423.31,53,523
1000959,484.79,35,1162
1000960,418.74,23,962
1000961,529.15,80,409
1000962,1205.9,66,197
1000963,309.77,65,1425
1000964,572.95,73,969
1000965,219.71,12,1469
1000966,1377.66,29,118
1000967,108.67,90,755
1000968,2124.15,70,348
1000969,233.18,97,784
1000970,43.95,53,1335
1000971,285.35,52,1172
1000972,108.07,43,30
1000973,671.0,67,494
1000974,111.82,62,36
1000975,143.25,87,1560
1000976,25.34,11,1504
1000977,142.2,68,1140
1000978,13.35,7,1602
1000979,36.57,45,245
1000980,609.41,8,1159
1000981,628.26,25,962
1000982,407.71,23,309
1000983,76.68,80,1530
1000984,231.08,22,1413
1000985,243.64,73,621
1000986,60.94,53,1161
1000987,1486.35,81,1166
1000988,701.23,72,730
1000989,187.7,2,1410
1000990,252.72,56,233
1000991,314.21,11,1186
1000992,21.11,18,807
1000993,181.89,31,1340
1000994,107.94,45,1272
1000995,73.56,18,1309
1000996,174.63,29,1456
1000997,2115.88,29,1477
1000998,527.96,64,1430
1000999,123.3,90,534
1001000,486.43,44,90
1001001,1311.89,49,1183
1001002,742.16,23,615
1001003,262.84,61,191
1001004,112.58,30,1239
1001005,565.59,89,1324
1001006,392.36,84,1368
1001007,716.4,6,544
1001008,524.37,8,1221
1001009,862.18,86,307
1001010,128.73,37,1171
1001011,1189.01,22,480
1001012,310.17,54,305
1001013,2952.22,34,658
1001014,107.02,11,984
1001015,1964.82,92,522
1001016,310.29,80,672
1001017,111.98,44,879
1001018,136.91,43,529
1001019,166.6,46,790
1001020,407.08,36,563
1001021,458.24,16,261
1001022,122.92,57,1442
1001023,237.64,4,1324
1001024,3199.42,26,1616
1001025,1945.07,76,1734
1001026,413.06,32,749
1001027,256.11,7,1152
1001028,282.6,21,814
1001029,510.92,18,844
1001030,71.71,98,1581
1001031,179.67,45,614
1001032,33.04,43,270
1001033,395.07,65,1163
1001034,532.0,75,193
1001035,137.03,90,419
1001036,1617.74,55,937
1001037,56.21,19,982
1001038,42.21,9,1752
1001039,320.33,1,86
1001040,859.64,76,326
1001041,1845.88,52,1072
1001042,141.08,47,124
1001043,892.85,36,1094
1001044,233.64,45,1725
1001045,198.91,80,1739
1001046,706.55,70,655
1001047,535.28,51,1021
1001048,36.9,48,843
1001049,1439.21,47,1132
1001050,1281.91,8,214
1001051,115.51,51,1304
1001052,393.45,78,656
1001053,442.68,90,383
1001054,334.56,10,1754
1001055,126.42,75,1454
1001056,109.3,88,165
1001057,237.3,69,379
1001058,999.52,63,1564
1001059,469.81,80,782
1001060,156.85,82,1678
1001061,617.72,68,866
1001062,8.02,24,1568
1001063,971.19,57,727
1001064,30.34,57,826
1001065,158.39,94,1190
1001066,63.84,12,1674
1001067,51.75,44,54
1001068,985.35,83,328
1001069,139.6,97,274
1001070,370.85,23,750
1001071,231.3,76,1451
1001072,433.74,38,362
1001073,268.32,5,587
1001074,52.48,7,746
1001075,808.77,2,1491
1001076,135.3,11,1010
1001077,37.79,24,600
1001078,146.39,42,1340
1001079,1481.65,72,1602
1001080,678.76,97,281
1001081,161.03,50,47
1001082,160.92,5,61
1001083,166.34,93,792
1001084,2957.49,14,357
1001085,386.96,77,1225
1001086,409.96,51,251
1001087,842.47,45,579
1001088,325.89,60,1578
1001089,179.32,66,844
1001090,193.33,63,481
1001091,224.55,65,160
1001092,234.0,69,721
1001093,585.9,36,635
1001094,260.43,46,304
1001095,589.44,88,641
1001096,222.1,48,1688
1001097,268.91,81,562
1001098,22.25,45,780
1001099,734.8,24,443
1001100,370.85,2,674
1001101,810.47,97,1096
1001102,7.57,59,1150
1001103,2999.05,39,988
1001104,206.95,39,180
1001105,925.02,32,202
1001106,70.25,13,393
1001107,510.47,48,284
1001108,69.12,18,672
1001109,115.76,63,1757
1001110,2432.9,63,787
1001111,194.65,2,808
