order_id,customer_id,order_date,order_amount,payment_status
50090,1115,2025-02-21,857.58,Paid
50091,1691,2025-01-14,220.09,Paid
50092,1494,2025-02-10,33.73,Paid
50093,1327,2025-02-27,23.07,Paid
50094,1186,2025-03-08,210.56,Refunded
50095,1538,2025-03-02,106.76,Paid
50096,1210,2025-03-16,251.83,Paid
50097,1058,2025-01-13,405.52,Processing
50098,1669,2025-03-12,157.18,Processing
50099,1421,2025-03-22,51.07,Paid
50100,1748,2025-01-17,248.62,Paid
50101,1730,2025-03-02,487.89,Paid
50102,1246,2025-01-01,150.21,Paid
50103,1155,2025-02-19,191.85,Refunded
50104,1208,2025-03-05,81.75,Paid
50105,1684,2025-01-20,92.08,Paid
50106,1129,2025-02-13,219.01,Paid
50107,1480,2025-02-17,414.19,Paid
50108,1785,2025-01-03,168.73,Paid
50109,1607,2025-02-26,253.99,Paid
50110,1768,2025-03-08,48.25,Paid
50111,1171,2025-03-27,55.73,Paid
50112,1381,2025-02-08,133.9,Paid
50113,1432,2025-01-03,49.14,Paid
50114,1363,2025-03-19,171.18,Paid
50115,1750,2025-01-16,71.72,Paid
50116,1039,2025-01-20,255.2,Paid
50117,1371,2025-03-05,267.63,Paid
50118,1699,2025-03-05,113.48,Paid
50119,1307,2025-02-26,49.92,Paid
50120,1622,2025-01-16,176.1,Processing
50121,1166,2025-02-02,759.78,Paid
50122,1644,2025-03-17,166.16,Paid
50123,1038,2025-01-25,25.46,Paid
50124,1058,2025-02-23,22.62,Paid
50125,1833,2025-01-18,77.93,Refunded
50126,1074,2025-03-15,52.68,Paid
50127,1642,2025-01-13,271.54,Paid
50128,1150,2025-02-20,299.46,Paid
50129,1002,2025-01-20,64.89,Paid
50130,1079,2025-02-03,79.1,Paid
50131,1273,2025-03-23,60.43,Paid
50132,1291,2025-03-13,378.52,Paid
50133,1646,2025-01-26,124.77,Paid
50134,1688,2025-02-06,180.13,Paid
50135,1441,2025-02-04,100.55,Paid
50136,1641,2025-02-19,169.55,Paid
50137,1660,2025-03-07,93.13,Paid
50138,1328,2025-02-27,82.25,Paid
50139,1439,2025-03-03,170.97,Paid
50140,1761,2025-03-01,154.13,Paid
50141,1459,2025-02-10,72.12,Paid
50142,1404,2025-01-15,44.26,Paid
50143,1369,2025-03-14,88.97,Processing
50144,1753,2025-02-14,100.47,Paid
50145,1278,2025-02-14,168.61,Paid
50146,1734,2025-01-18,388.94,Processing
50147,1761,2025-03-17,25.53,Refunded
50148,1156,2025-03-20,61.89,Paid
50149,1365,2025-01-27,52.3,Paid
50150,1520,2025-02-20,124.66,Paid
50151,1559,2025-01-10,104.24,Paid
50152,1123,2025-03-17,215.87,Paid
50153,1199,2025-01-17,61.64,Paid
50154,1295,2025-01-18,155.39,Paid
50155,1473,2025-03-02,342.94,Paid
50156,1575,2025-01-23,382.33,Paid
50157,1050,2025-01-22,498.34,Paid
50158,1781,2025-02-15,242.59,Refunded
50159,1151,2025-03-09,374.65,Paid
50160,1530,2025-03-03,60.09,Paid
50161,1696,2025-02-01,53.02,Refunded
50162,1229,2025-02-17,20.98,Processing
50163,1523,2025-01-19,204.06,Paid
50164,1821,2025-02-23,435.81,Processing
50165,1567,2025-03-27,51.04,Paid
50166,1329,2025-01-14,171.98,Paid
50167,1721,2025-02-07,225.83,Paid
50168,1136,2025-01-18,413.86,Paid
50169,1200,2025-02-27,176.13,Paid
50170,1709,2025-01-08,547.46,Paid
50171,1111,2025-03-02,83.39,Paid
50172,1844,2025-01-16,84.6,Paid
50173,1268,2025-03-22,137.46,Paid
50174,1219,2025-03-15,92.56,Paid
50175,1645,2025-01-24,20.21,Paid
50176,1763,2025-02-14,217.39,Paid
50177,1837,2025-02-09,228.98,Paid
50178,1439,2025-03-18,226.14,Paid
50179,1194,2025-01-23,83.47,Paid
50180,1435,2025-01-04,130.81,Paid
50181,1048,2025-01-24,86.94,Paid
50182,1221,2025-02-24,22.42,Refunded
50183,1825,2025-03-24,143.98,Paid
50184,1398,2025-03-26,39.82,Paid
50185,1477,2025-01-22,32.51,Paid
50186,1378,2025-03-05,231.28,Paid
50187,1524,2025-01-20,21.43,Processing
50188,1166,2025-02-18,499.16,Paid
50189,1575,2025-03-24,128.62,Paid
50190,2037,2025-01-20,631.33,Paid
50191,1830,2025-01-18,28.96,Paid
50192,1266,2025-03-15,151.39,Paid
50193,1756,2025-01-06,84.46,Paid
50194,1283,2025-01-16,298.19,Processing
50195,1058,2025-02-16,87.23,Paid
50196,1158,2025-03-17,65.26,Paid
50197,1718,2025-01-25,312.32,Paid
50198,1272,2025-03-20,90.42,Paid
50199,1380,2025-01-07,22.55,Paid
50200,1027,2025-02-12,94.22,Paid
50201,1207,2025-03-16,179.42,Paid
50202,1087,2025-02-27,64.03,Paid
50203,1156,2025-03-17,104.84,Paid
50204,1140,2025-03-01,28.76,Paid
50205,1140,2025-02-08,153.04,Paid
50206,1502,2025-02-25,231.77,Paid
50207,1847,2025-02-19,99.99,Paid
50208,1264,2025-01-09,101.77,Paid
50209,1471,2025-01-06,33.86,Paid
50210,1732,2025-02-15,53.84,Paid
50211,1123,2025-03-21,45.21,Paid
50212,1232,2025-03-18,118.58,Paid
50213,1191,2025-03-26,133.02,Paid
50214,1521,2025-03-08,466.21,Processing
50215,1162,2025-02-08,31.41,Paid
50216,1406,2025-02-19,157.39,Paid
50217,1192,2025-03-10,132.14,Paid
50218,1366,2025-01-07,128.92,Paid
50219,1490,2025-02-08,329.72,Paid
50220,1156,2025-03-04,54.51,Paid
50221,1788,2025-03-19,26.24,Paid
50222,1440,2025-03-04,187.34,Paid
50223,1032,2025-03-25,83.5,Paid
50224,1197,2025-01-13,22.66,Paid
50225,1611,2025-02-21,63.43,Paid
50226,1478,2025-01-04,75.51,Paid
50227,1683,2025-02-08,163.89,Paid
50228,1195,2025-01-11,48.42,Paid
50229,1094,2025-01-21,99.92,Paid
50230,1416,2025-01-27,118.8,Paid
50231,1144,2025-03-23,112.22,Paid
50232,1482,2025-03-18,567.11,Paid
50233,1202,2025-03-11,26.99,Paid
50234,1116,2025-03-08,472.29,Paid
50235,1412,2025-03-10,150.82,Paid
50236,1567,2025-01-20,258.25,Paid
50237,1579,2025-01-08,104.42,Paid
50238,1534,2025-03-16,110.73,Paid
50239,1449,2025-03-15,337.2,Paid
50240,1273,2025-01-21,359.41,Refunded
50241,1404,2025-03-17,60.91,Processing
50242,1058,2025-02-15,53.33,Paid
50243,1391,2025-03-02,122.85,Processing
50244,1602,2025-02-13,365.8,Paid
50245,1019,2025-02-23,78.37,Processing
50246,1806,2025-01-06,178.34,Paid
50247,1052,2025-01-05,204.73,Paid
50248,1022,2025-01-18,246.22,Paid
50249,1304,2025-03-23,144.49,Paid
50250,1719,2025-02-03,97.24,Paid
50251,1750,2025-01-24,531.76,Paid
50252,1481,2025-01-13,161.75,Refunded
50253,1566,2025-02-21,215.61,Paid
50254,1194,2025-01-02,83.46,Paid
50255,1113,2025-01-17,186.28,Paid
50256,1250,2025-03-18,64.72,Paid
50257,1239,2025-01-01,62.17,Paid
50258,1700,2025-01-05,208.14,Paid
50259,1090,2025-03-15,130.53,Paid
50260,1466,2025-03-03,192.46,Paid
50261,1275,2025-02-13,67.09,Paid
50262,1386,2025-03-18,156.97,Paid
50263,1161,2025-01-25,108.03,Paid
50264,1217,2025-03-07,156.31,Paid
50265,1039,2025-02-12,71.56,Processing
50266,1585,2025-03-04,208.53,Processing
50267,1197,2025-03-06,265.93,Paid
50268,1720,2025-01-09,65.15,Paid
50269,1543,2025-02-05,73.63,Paid
50270,1427,2025-03-13,182.33,Paid
50271,1720,2025-01-02,198.4,Paid
50272,1057,2025-02-21,202.66,Paid
50273,1121,2025-01-24,192.19,Paid
50274,1195,2025-01-12,94.84,Paid
50275,1278,2025-02-02,95.34,Paid
50276,1722,2025-01-02,64.12,Paid
50277,1091,2025-03-24,45.59,Paid
50278,1672,2025-02-22,196.93,Paid
50279,1054,2025-02-11,34.67,Paid
50280,1352,2025-03-11,436.59,Paid
50281,2033,2025-01-04,282.9,Processing
50282,1330,2025-01-07,312.27,Paid
50283,1570,2025-01-13,375.74,Processing
50284,1687,2025-01-11,98.79,Paid
50285,1332,2025-02-20,301.3,Processing
50286,1329,2025-03-12,45.81,Paid
50287,1209,2025-03-05,23.28,Paid
50288,1476,2025-01-26,250.49,Paid
50289,1056,2025-02-12,31.66,Paid
50290,1376,2025-02-27,690.13,Paid
50291,1558,2025-02-19,188.5,Paid
50292,1434,2025-01-26,230.03,Paid
50293,1458,2025-01-09,62.32,Paid
50294,1335,2025-03-26,188.07,Paid
50295,1791,2025-03-20,26.63,Paid
50296,1783,2025-01-10,292.86,Paid
50297,1049,2025-01-01,47.88,Paid
50298,1333,2025-02-16,199.28,Paid
50299,1640,2025-02-26,58.13,Paid
50300,1321,2025-03-23,30.64,Processing
50301,1658,2025-01-26,118.52,Paid
50302,1570,2025-01-13,47.82,Paid
50303,1358,2025-01-25,216.09,Paid
50304,1283,2025-01-06,60.69,Paid
50305,1683,2025-03-20,82.89,Paid
50306,1386,2025-02-14,145.7,Paid
50307,1111,2025-02-23,70.31,Paid
50308,1789,2025-03-06,91.22,Refunded
50309,1703,2025-03-13,273.61,Paid
50310,1059,2025-03-12,49.62,Paid
50311,1628,2025-02-02,32.87,Paid
50312,1572,2025-01-03,79.7,Paid
50313,1185,2025-03-04,102.85,Paid
50314,1190,2025-01-22,137.35,Paid
50315,1712,2025-02-07,89.88,Paid
50316,1027,2025-03-11,254.03,Paid
50317,1579,2025-03-03,26.02,Paid
50318,1717,2025-02-06,104.78,Paid
50319,1330,2025-02-02,92.25,Processing
50320,1323,2025-01-14,176.44,Processing
50321,1693,2025-01-18,528.43,Paid
50322,1706,2025-03-12,127.12,Paid
50323,1090,2025-03-13,670.01,Paid
50324,1366,2025-02-12,73.98,Paid
50325,1331,2025-02-09,24.7,Paid
50326,1654,2025-01-21,47.17,Paid
50327,1732,2025-01-21,95.41,Paid
50328,1209,2025-03-24,77.04,Refunded
50329,1706,2025-02-08,35.31,Paid
50330,1718,2025-01-01,105.02,Paid
50331,1563,2025-03-13,81.9,Paid
50332,1502,2025-02-21,39.62,Processing
50333,1097,2025-01-14,72.67,Paid
50334,1173,2025-02-16,346.31,Processing
50335,1682,2025-01-06,73.94,Paid
50336,1220,2025-02-07,207.74,Paid
50337,1171,2025-02-26,162.03,Paid
50338,1440,2025-01-25,103.58,Paid
50339,1674,2025-03-20,60.97,Paid
50340,1502,2025-01-18,89.07,Paid
50341,1340,2025-02-26,154.51,Processing
50342,1276,2025-01-24,84.79,Paid
50343,1019,2025-02-02,56.29,Paid
50344,1283,2025-03-15,38.57,Paid
50345,1399,2025-03-25,337.75,Paid
50346,1509,2025-02-14,107.06,Paid
50347,1658,2025-02-12,167.21,Paid
50348,1094,2025-03-06,121.12,Paid
50349,1222,2025-02-09,329.02,Paid
50350,1368,2025-02-25,138.76,Paid
50351,1232,2025-02-04,118.31,Paid
50352,1342,2025-01-02,407.74,Paid
50353,1397,2025-02-26,210.78,Paid
50354,1368,2025-02-02,37.74,Processing
50355,1367,2025-01-23,49.35,Paid
50356,1680,2025-03-14,252.06,Refunded
50357,1081,2025-01-25,291.05,Paid
50358,1615,2025-03-05,138.18,Paid
50359,1834,2025-02-22,141.27,Paid
50360,1322,2025-02-08,169.92,Paid
50361,1312,2025-02-06,106.74,Paid
50362,1343,2025-03-24,191.01,Processing
50363,1704,2025-03-07,37.22,Paid
50364,1233,2025-03-08,507.71,Paid
50365,1327,2025-01-01,228.04,Paid
50366,2034,2025-02-06,169.61,Paid
50367,1394,2025-02-25,77.04,Paid
50368,1688,2025-02-04,46.32,Processing
50369,1229,2025-02-16,98.98,Paid
50370,1382,2025-01-01,182.52,Processing
50371,1521,2025-02-09,170.65,Paid
50372,1829,2025-03-15,92.35,Paid
50373,1139,2025-03-11,162.51,Paid
50374,1541,2025-03-03,272.1,Paid
50375,1248,2025-02-02,24.0,Paid
50376,1014,2025-01-04,109.85,Paid
50377,1193,2025-02-19,233.17,Processing
50378,1050,2025-02-17,138.5,Paid
50379,1145,2025-03-10,178.11,Processing
50380,1112,2025-02-09,129.06,Paid
50381,1230,2025-03-21,741.91,Paid
50382,1288,2025-03-03,28.43,Paid
50383,1073,2025-02-21,121.31,Paid
50384,1561,2025-01-21,34.38,Paid
50385,1334,2025-03-05,46.11,Paid
50386,1139,2025-03-09,92.44,Paid
50387,1237,2025-01-18,45.36,Paid
50388,1800,2025-01-08,517.34,Paid
50389,1794,2025-02-10,460.03,Paid
50390,1774,2025-03-09,81.45,Paid
50391,1283,2025-01-24,173.14,Paid
50392,1674,2025-01-06,134.46,Paid
50393,1211,2025-01-24,273.59,Processing
50394,1373,2025-03-27,168.11,Paid
50395,1329,2025-01-02,20.04,Paid
50396,1040,2025-03-18,236.06,Paid
50397,1770,2025-03-22,226.06,Paid
50398,1798,2025-03-18,126.92,Paid
50399,1284,2025-03-09,369.83,Paid
50400,1656,2025-03-07,378.62,Paid
50401,1114,2025-01-13,131.32,Paid
50402,1680,2025-01-20,160.47,Paid
50403,1200,2025-01-02,869.2,Paid
50404,1419,2025-02-23,73.25,Processing
50405,1103,2025-03-04,78.87,Paid
50406,1207,2025-03-06,50.28,Paid
50407,1127,2025-03-07,359.31,Paid
50408,1479,2025-02-03,224.67,Paid
50409,1457,2025-02-21,36.75,Refunded
50410,1446,2025-01-06,620.68,Paid
50411,1012,2025-01-20,216.94,Paid
50412,1549,2025-03-11,305.09,Paid
50413,1518,2025-03-18,27.4,Paid
50414,1678,2025-01-04,125.47,Paid
50415,2011,2025-03-13,199.9,Processing
50416,1587,2025-01-14,137.44,Paid
50417,1621,2025-03-02,184.78,Paid
50418,1529,2025-02-14,275.46,Paid
50419,1387,2025-03-07,90.34,Paid
50420,1611,2025-02-11,303.24,Paid
50421,1003,2025-03-16,46.67,Paid
50422,1772,2025-02-06,67.39,Paid
50423,1114,2025-03-06,26.65,Paid
50424,1657,2025-02-24,87.98,Paid
50425,1096,2025-02-27,91.68,Paid
50426,1198,2025-03-27,265.42,Paid
50427,1109,2025-01-24,178.82,Paid
50428,1795,2025-02-09,106.1,Paid
50429,1799,2025-03-25,178.38,Paid
50430,1754,2025-02-18,28.13,Processing
50431,1792,2025-03-19,49.82,Processing
50432,1367,2025-01-07,167.91,Refunded
50433,1201,2025-01-10,173.82,Refunded
50434,1722,2025-02-10,243.17,Paid
50435,1384,2025-02-14,97.38,Refunded
50436,1560,2025-01-22,212.32,Processing
50437,1407,2025-01-06,192.79,Paid
50438,1591,2025-01-13,516.13,Paid
50439,1270,2025-01-13,56.34,Paid
50440,1214,2025-01-14,140.34,Paid
50441,1013,2025-01-09,158.11,Paid
50442,1214,2025-03-08,1010.91,Paid
50443,1106,2025-02-03,53.69,Paid
50444,1297,2025-03-24,131.1,Paid
50445,1264,2025-03-08,83.74,Paid
50446,1407,2025-01-07,131.95,Processing
50447,1608,2025-03-02,59.62,Paid
50448,1619,2025-02-18,27.32,Processing
50449,1678,2025-02-15,147.49,Paid
50450,1381,2025-02-24,81.39,Paid
50451,1243,2025-01-19,50.12,Paid
50452,1306,2025-02-19,78.72,Paid
50453,1657,2025-02-27,27.58,Paid
50454,1350,2025-02-17,470.69,Paid
50455,1420,2025-02-19,150.54,Paid
50456,1598,2025-03-16,272.92,Paid
50457,1612,2025-01-19,102.52,Paid
50458,1526,2025-01-19,370.44,Paid
50459,1440,2025-03-23,119.05,Paid
50460,1164,2025-03-05,147.98,Paid
50461,1029,2025-02-17,121.53,Paid
50462,1388,2025-03-24,218.23,Processing
50463,1154,2025-02-08,145.43,Paid
50464,1478,2025-02-12,67.54,Processing
50465,1720,2025-02-13,43.59,Paid
50466,1734,2025-02-18,159.76,Paid
50467,1556,2025-02-19,120.76,Paid
50468,1405,2025-01-20,35.13,Paid
50469,1057,2025-01-03,95.53,Paid
50470,1681,2025-02-27,128.47,Paid
50471,1298,2025-03-26,283.08,Paid
50472,1435,2025-02-13,31.87,Paid
50473,1776,2025-02-08,84.27,Processing
50474,1388,2025-03-27,279.45,Paid
50475,1480,2025-02-17,176.8,Refunded
50476,1226,2025-03-22,71.36,Paid
50477,1059,2025-01-09,299.97,Paid
50478,1546,2025-03-15,121.97,Paid
50479,1329,2025-01-24,123.48,Paid
50480,1771,2025-01-09,583.17,Refunded
50481,1188,2025-02-23,460.95,Paid
50482,1429,2025-01-16,86.6,Paid
50483,1565,2025-03-24,42.72,Processing
50484,1836,2025-03-23,79.1,Paid
50485,1144,2025-01-26,24.64,Paid
50486,1403,2025-01-13,23.15,Paid
50487,1189,2025-01-15,95.51,Paid
50488,1060,2025-03-01,444.58,Paid
50489,1269,2025-01-05,327.61,Paid
50490,1464,2025-01-12,127.44,Paid
50491,1210,2025-02-13,144.94,Paid
50492,1695,2025-02-08,20.89,Paid
50493,1538,2025-03-06,56.41,Refunded
50494,1796,2025-03-06,23.76,Paid
50495,1036,2025-03-21,230.69,Paid
50496,1082,2025-02-18,43.61,Paid
50497,1697,2025-03-03,324.94,Paid
50498,1713,2025-02-12,174.64,Paid
50499,1630,2025-03-21,59.09,Paid
50500,1391,2025-02-21,45.75,Paid
50501,1496,2025-02-21,168.18,Processing
50502,1622,2025-02-08,366.65,Paid
50503,1123,2025-03-18,210.07,Paid
50504,1439,2025-01-16,84.28,Paid
50505,1048,2025-02-21,152.79,Paid
50506,1702,2025-01-09,75.83,Paid
50507,1480,2025-03-18,1080.46,Paid
50508,1012,2025-01-23,227.25,Paid
50509,1173,2025-01-06,162.94,Paid
50510,1551,2025-03-16,102.55,Processing
50511,1587,2025-01-20,164.41,Paid
50512,1226,2025-01-01,82.7,Paid
50513,1340,2025-02-03,24.39,Paid
50514,1520,2025-03-21,95.4,Paid
50515,1236,2025-03-09,419.92,Paid
50516,1396,2025-02-19,167.65,Paid
50517,1375,2025-01-23,33.15,Paid
50518,1220,2025-03-14,344.42,Paid
50519,1576,2025-03-23,66.98,Paid
50520,1453,2025-03-27,61.91,Paid
50521,1328,2025-03-04,72.88,Paid
50522,1694,2025-03-27,149.13,Refunded
50523,1813,2025-02-02,138.02,Paid
50524,1271,2025-01-18,121.42,Paid
50525,1694,2025-03-26,209.63,Processing
50526,1237,2025-03-06,77.09,Paid
50527,1707,2025-02-13,248.53,Paid
50528,1777,2025-01-09,48.91,Paid
50529,1574,2025-01-15,248.92,Paid
50530,1384,2025-01-22,183.51,Refunded
50531,1246,2025-02-26,192.43,Paid
50532,1716,2025-02-27,118.54,Processing
50533,1508,2025-02-02,184.94,Paid
50534,1211,2025-01-24,32.47,Processing
50535,1692,2025-02-11,306.13,Paid
50536,1047,2025-02-12,28.57,Refunded
50537,1196,2025-02-20,44.16,Processing
50538,1435,2025-03-01,148.98,Paid
50539,1281,2025-03-08,221.72,Paid
50540,1271,2025-01-02,31.9,Paid
50541,1502,2025-01-20,400.3,Processing
50542,1420,2025-01-05,565.2,Paid
50543,1101,2025-02-12,159.69,Paid
50544,1074,2025-01-21,118.45,Processing
50545,1274,2025-02-03,222.87,Paid
50546,1693,2025-03-07,79.7,Paid
50547,1615,2025-02-06,121.96,Paid
50548,1358,2025-03-05,391.81,Paid
50549,1657,2025-03-26,487.36,Paid
50550,1086,2025-01-09,412.74,Paid
50551,1415,2025-02-13,65.66,Paid
50552,1611,2025-03-22,59.69,Paid
50553,1634,2025-02-20,73.0,Paid
50554,1169,2025-02-26,107.32,Paid
50555,1138,2025-01-10,76.57,Paid
50556,1411,2025-02-09,90.31,Paid
50557,1075,2025-02-01,165.39,Paid
50558,1215,2025-01-18,235.65,Paid
50559,1618,2025-03-02,219.52,Paid
50560,1056,2025-03-14,272.64,Paid
50561,1807,2025-02-15,24.91,Paid
50562,1380,2025-02-16,27.34,Processing
50563,1763,2025-03-15,253.66,Paid
50564,1334,2025-03-19,134.24,Paid
50565,1704,2025-03-09,149.46,Paid
50566,1560,2025-01-05,28.1,Refunded
50567,1674,2025-03-20,64.22,Paid
50568,1172,2025-01-24,172.56,Refunded
50569,1392,2025-02-25,314.04,Paid
50570,1126,2025-03-04,393.31,Paid
50571,1292,2025-02-07,124.1,Paid
50572,1690,2025-02-08,138.28,Paid
50573,1156,2025-03-07,288.51,Paid
50574,1532,2025-02-17,135.71,Paid
50575,1193,2025-02-22,129.12,Paid
50576,1180,2025-02-12,373.21,Paid
50577,1722,2025-02-24,254.05,Paid
50578,2040,2025-02-15,379.65,Paid
50579,1117,2025-03-05,56.93,Paid
50580,1035,2025-01-02,131.47,Refunded
50581,1429,2025-01-09,297.22,Paid
50582,1062,2025-02-27,37.67,Paid
50583,1131,2025-03-09,257.46,Paid
50584,1439,2025-03-11,50.31,Paid
50585,1236,2025-01-18,267.63,Paid
50586,1292,2025-01-01,162.01,Paid
50587,1222,2025-01-16,52.21,Paid
50588,1249,2025-02-22,116.18,Paid
50589,1412,2025-02-22,191.81,Paid
50590,1387,2025-01-12,170.71,Paid
50591,1104,2025-03-25,103.6,Paid
50592,1200,2025-02-27,364.44,Paid
50593,1830,2025-01-27,129.87,Paid
50594,1801,2025-02-07,125.74,Paid
50595,1471,2025-03-10,29.64,Refunded
50596,1646,2025-03-25,402.89,Paid
50597,1190,2025-03-05,49.24,Paid
50598,1725,2025-03-20,132.73,Paid
50599,1108,2025-03-10,264.12,Paid
50600,1562,2025-02-26,56.4,Refunded
50601,1103,2025-02-26,132.42,Refunded
50602,1154,2025-02-10,61.3,Paid
50603,1400,2025-01-21,233.88,Paid
50604,1658,2025-02-02,144.63,Paid
50605,1172,2025-01-27,310.67,Paid
50606,1024,2025-01-07,357.44,Refunded
50607,1635,2025-02-24,176.93,Paid
50608,1427,2025-02-09,213.86,Paid
50609,1657,2025-02-23,139.52,Paid
50610,1310,2025-03-16,92.78,Paid
50611,1394,2025-01-27,176.67,Refunded
50612,1285,2025-01-17,378.37,Paid
50613,1676,2025-03-11,100.85,Paid
50614,1782,2025-03-19,76.62,Paid
50615,1789,2025-03-20,93.76,Paid
50616,1059,2025-03-08,105.75,Processing
50617,1768,2025-03-06,31.46,Refunded
50618,1541,2025-01-09,123.51,Processing
50619,1564,2025-03-13,122.28,Paid
50620,1283,2025-03-08,153.17,Paid
50621,1773,2025-02-17,87.61,Paid
50622,1187,2025-01-16,162.44,Paid
50623,1300,2025-02-02,335.83,Paid
50624,1599,2025-02-08,486.74,Paid
50625,1588,2025-01-13,151.42,Paid
50626,1019,2025-02-24,26.53,Paid
50627,1457,2025-02-10,542.21,Paid
50628,1271,2025-02-02,203.56,Paid
50629,1546,2025-03-14,81.41,Processing
50630,1358,2025-03-21,43.88,Paid
50631,1729,2025-01-24,43.22,Paid
50632,1340,2025-03-14,47.54,Processing
50633,1725,2025-01-04,27.0,Paid
50634,1655,2025-02-04,368.65,Paid
50635,1159,2025-02-03,136.73,Paid
50636,1151,2025-01-17,200.58,Paid
50637,1251,2025-03-16,284.13,Paid
50638,1814,2025-02-05,255.2,Processing
50639,1756,2025-03-07,341.33,Paid
50640,1025,2025-02-02,532.85,Paid
50641,1397,2025-03-17,106.72,Paid
50642,1693,2025-02-15,470.37,Paid
50643,1705,2025-03-27,212.72,Paid
50644,1387,2025-01-06,30.99,Paid
50645,1826,2025-02-18,191.75,Paid
50646,2009,2025-01-26,194.1,Paid
50647,1511,2025-02-14,374.45,Paid
50648,1666,2025-02-25,90.01,Paid
50649,1685,2025-03-15,151.89,Paid
50650,1203,2025-02-14,21.84,Paid
50651,1729,2025-02-01,80.54,Paid
50652,1350,2025-02-20,29.64,Paid
50653,1028,2025-02-10,130.68,Refunded
50654,1468,2025-03-24,275.11,Processing
50655,1384,2025-02-27,54.68,Paid
50656,1541,2025-01-01,132.44,Paid
50657,1567,2025-03-09,54.23,Paid
50658,1237,2025-01-02,39.29,Paid
50659,1456,2025-03-11,127.31,Paid
50660,1013,2025-02-25,32.37,Paid
50661,1717,2025-01-19,152.78,Paid
50662,1255,2025-01-24,24.78,Paid
