customer_id,days_as_customer,total_transactions,purchase_count,total_spent,days_since_last_purchase,customer_region
CUST-10077,421,7,7,220.13,77,Asia-Pacific
CUST-10078,448,25,25,3905.79,258,Asia-Pacific
CUST-10079,318,34,34,936.46,127,North America
CUST-10080,408,16,16,3234.54,282,Europe
CUST-10081,260,3,3,281.84,88,Latin America
CUST-10082,1047,9,9,306.52,204,Asia-Pacific
CUST-10083,70,5,5,786.9,16,North America
CUST-10084,1081,53,53,6067.39,151,Asia-Pacific
CUST-10085,164,4,4,976.42,73,Europe
CUST-10086,230,11,11,1621.89,32,Europe
CUST-10087,809,24,24,2086.29,271,North America
CUST-10088,959,6,6,1107.74,5,Asia-Pacific
CUST-10089,1086,23,23,1979.97,330,Latin America
CUST-10090,532,10,10,2284.55,308,Latin America
CUST-10091,436,21,21,2295.56,333,Asia-Pacific
CUST-10092,834,14,14,2082.09,169,Asia-Pacific
CUST-10093,128,16,16,582.06,53,Asia-Pacific
CUST-10094,713,33,33,3988.95,178,North America
CUST-10095,755,7,7,1485.97,143,Europe
CUST-10096,990,21,21,4331.69,362,Latin America
CUST-10097,642,29,29,2188.68,248,North America
CUST-10098,672,6,6,455.21,127,Asia-Pacific
CUST-10099,1058,5,5,1044.47,263,Asia-Pacific
CUST-10100,532,14,14,3280.76,40,Europe
CUST-10101,796,3,3,139.37,355,Asia-Pacific
CUST-10102,427,21,21,2651.53,255,North America
CUST-10103,900,26,26,2624.11,143,North America
CUST-10104,824,6,6,1325.43,240,Europe
CUST-10105,422,29,29,1270.0,228,North America
CUST-10106,236,36,36,2610.12,85,Latin America
CUST-10107,1068,22,22,4274.72,198,North America
CUST-10108,921,38,38,1388.56,65,North America
CUST-10109,893,14,14,1901.49,11,North America
CUST-10110,772,12,12,1493.69,108,Latin America
CUST-10111,593,16,16,1603.84,26,Asia-Pacific
CUST-10112,1050,8,8,910.23,151,North America
CUST-10113,125,11,11,1586.6,93,Europe
CUST-10114,514,17,17,1042.23,341,Latin America
CUST-10115,260,19,19,2920.28,237,Europe
CUST-10116,778,23,23,4743.11,237,North America
CUST-10117,570,2,2,392.07,219,Europe
CUST-10118,1089,80,80,4770.2,151,North America
CUST-10119,554,8,8,468.65,123,Latin America
CUST-10120,607,26,26,2218.82,144,Europe
CUST-10121,711,21,21,2231.08,189,Europe
CUST-10122,586,11,11,1285.93,255,North America
CUST-10123,1042,25,25,4448.3,68,North America
CUST-10124,675,9,9,339.78,104,Asia-Pacific
CUST-10125,825,17,17,557.62,336,North America
CUST-10126,1081,53,53,5998.53,159,North America
CUST-10127,219,13,13,2364.2,53,Asia-Pacific
CUST-10128,662,18,18,1233.41,362,North America
CUST-10129,657,7,7,1185.37,300,North America
CUST-10130,1002,26,26,2169.99,90,Asia-Pacific
CUST-10131,739,10,10,2243.69,357,Latin America
CUST-10132,678,21,21,4757.13,256,Latin America
CUST-10133,347,32,32,2940.47,220,North America
CUST-10134,713,15,15,1151.23,9,North America
CUST-10135,693,25,25,2938.58,12,Asia-Pacific
CUST-10136,471,22,22,1740.63,325,Asia-Pacific
CUST-10137,593,33,33,5817.45,244,Latin America
CUST-10138,981,25,25,5271.61,182,Europe
CUST-10139,728,37,37,6528.49,284,North America
CUST-10140,142,14,14,2946.7,56,Europe
CUST-10141,31,6,6,685.94,3,Europe
CUST-10142,671,4,4,240.69,197,Asia-Pacific
CUST-10143,249,5,5,955.19,226,North America
CUST-10144,884,14,14,1485.49,226,North America
CUST-10145,414,19,19,3344.68,333,Asia-Pacific
CUST-10146,759,10,10,858.95,103,Europe
CUST-10147,276,10,10,432.77,106,Asia-Pacific
CUST-10148,865,13,13,3228.3,58,Latin America
CUST-10149,232,17,17,1022.47,78,North America
CUST-10150,152,41,41,10143.18,75,Latin America
CUST-10151,430,4,4,979.55,42,Asia-Pacific
CUST-10152,796,27,27,5497.44,324,North America
CUST-10153,323,25,25,4334.25,181,Latin America
CUST-10154,309,15,15,2325.1,33,Latin America
CUST-10155,913,22,22,4837.2,71,Europe
CUST-10156,227,15,15,1351.86,56,North America
CUST-10157,1011,25,25,3255.71,105,Latin America
CUST-10158,781,9,9,1479.26,200,Latin America
CUST-10159,173,8,8,940.14,101,Europe
CUST-10160,638,3,3,363.55,256,Latin America
CUST-10161,216,22,22,2184.91,51,Latin America
CUST-10162,493,11,11,1671.47,74,Latin America
CUST-10163,689,5,5,1081.9,171,Europe
CUST-10164,793,8,8,562.75,143,Latin America
CUST-10165,984,25,25,5881.19,166,Latin America
CUST-10166,432,19,19,3420.85,261,North America
CUST-10167,176,8,8,1681.89,83,North America
CUST-10168,893,40,40,6005.72,182,Europe
CUST-10169,518,16,16,3206.26,307,Asia-Pacific
CUST-10170,958,24,24,687.48,10,North America
CUST-10171,580,19,19,3973.58,4,Europe
CUST-10172,367,14,14,476.44,351,Latin America
CUST-10173,901,22,22,4955.07,336,Latin America
CUST-10174,670,35,35,8686.71,292,Europe
CUST-10175,502,14,14,1276.31,281,Latin America
CUST-10176,180,28,28,2025.01,98,Latin America
CUST-10177,292,10,10,1972.07,101,Asia-Pacific
CUST-10178,173,49,49,4014.62,9,Latin America
CUST-10179,375,9,9,1977.76,61,North America
CUST-10180,653,59,59,2840.24,309,Latin America
CUST-10181,1046,6,6,320.04,146,Europe
CUST-10182,910,13,13,3189.02,63,Asia-Pacific
CUST-10183,31,23,23,4062.12,25,Latin America
CUST-10184,926,36,36,7759.79,226,Europe
CUST-10185,283,44,44,4310.86,105,North America
CUST-10186,482,41,41,7265.56,260,Latin America
CUST-10187,1090,23,23,3650.2,349,Asia-Pacific
CUST-10188,1044,10,10,1607.09,255,Latin America
CUST-10189,38,32,32,5714.23,15,Europe
CUST-10190,845,34,34,5251.5,28,Asia-Pacific
CUST-10191,237,21,21,2552.32,170,Latin America
CUST-10192,433,12,12,1044.99,336,North America
CUST-10193,181,7,7,1385.52,76,Asia-Pacific
CUST-10194,83,10,10,759.11,69,North America
CUST-10195,657,10,10,1807.8,354,Europe
CUST-10196,616,18,18,1395.0,234,Latin America
CUST-10197,133,33,33,5468.08,1,North America
CUST-10198,283,19,19,3668.76,167,Europe
CUST-10199,539,7,7,519.47,352,Latin America
CUST-10200,128,27,27,1039.16,90,Europe
CUST-10201,182,52,52,2832.39,17,North America
CUST-10202,943,18,18,2904.29,251,Europe
CUST-10203,907,10,10,2161.25,347,Asia-Pacific
CUST-10204,367,8,8,280.99,344,Latin America
CUST-10205,851,26,26,4944.78,174,Europe
CUST-10206,986,43,43,4377.26,170,North America
CUST-10207,190,14,14,1857.36,167,Latin America
CUST-10208,830,12,12,2807.92,90,Asia-Pacific
CUST-10209,427,18,18,1794.48,49,Latin America
CUST-10210,845,28,28,3631.62,294,Asia-Pacific
CUST-10211,430,10,10,280.79,150,Latin America
CUST-10212,669,20,20,867.19,132,Europe
CUST-10213,1086,24,24,1996.39,59,Europe
CUST-10214,717,25,25,781.67,324,North America
CUST-10215,489,8,8,1336.48,199,Asia-Pacific
CUST-10216,984,9,9,1088.46,215,North America
CUST-10217,499,18,18,2669.99,49,Europe
CUST-10218,1075,27,27,1735.98,232,Asia-Pacific
CUST-10219,779,57,57,5220.33,247,North America
CUST-10220,67,7,7,1220.52,31,North America
CUST-10221,259,20,20,4843.86,168,North America
CUST-10222,592,17,17,617.84,48,North America
CUST-10223,467,13,13,2929.37,51,North America
CUST-10224,56,35,35,5417.94,43,Asia-Pacific
CUST-10225,255,25,25,3797.05,98,North America
CUST-10226,827,25,25,3439.07,216,Asia-Pacific
CUST-10227,313,7,7,284.3,177,North America
CUST-10228,908,13,13,587.89,80,Europe
CUST-10229,989,18,18,2883.69,185,Europe
CUST-10230,482,19,19,1932.6,27,North America
CUST-10231,1049,66,66,15271.43,195,Latin America
CUST-10232,845,14,14,1630.76,214,Europe
CUST-10233,688,1,1,57.24,342,Asia-Pacific
CUST-10234,576,18,18,3344.61,114,North America
CUST-10235,46,24,24,2184.11,12,Asia-Pacific
CUST-10236,187,18,18,2578.15,55,Latin America
CUST-10237,506,1,1,182.01,312,North America
CUST-10238,547,21,21,4778.75,196,Europe
CUST-10239,128,25,25,5081.08,95,Asia-Pacific
CUST-10240,1090,6,6,1063.09,44,Europe
CUST-10241,309,10,10,1779.17,186,Europe
CUST-10242,526,17,17,4043.16,343,North America
CUST-10243,331,12,12,1098.73,246,Asia-Pacific
CUST-10244,210,13,13,328.25,181,Latin America
CUST-10245,636,21,21,1809.99,84,Europe
CUST-10246,729,11,11,814.28,207,North America
CUST-10247,1022,5,5,869.56,151,North America
CUST-10248,220,30,30,5027.55,156,Latin America
CUST-10249,282,8,8,1268.23,16,North America
CUST-10250,1010,15,15,429.82,165,Europe
CUST-10251,957,12,12,2267.7,145,North America
CUST-10252,157,7,7,684.56,37,Asia-Pacific
CUST-10253,47,30,30,5239.13,13,Asia-Pacific
CUST-10254,595,28,28,4206.44,45,Europe
CUST-10255,599,13,13,1327.49,206,Asia-Pacific
CUST-10256,715,17,17,939.75,62,Latin America
CUST-10257,655,19,19,878.64,356,North America
CUST-10258,883,7,7,1484.64,308,Europe
CUST-10259,991,8,8,1853.12,19,Latin America
CUST-10260,184,17,17,2910.44,109,North America
CUST-10261,519,7,7,337.91,300,Latin America
CUST-10262,814,17,17,1962.75,7,Europe
CUST-10263,275,2,2,378.02,249,Europe
CUST-10264,1092,13,13,2605.98,117,Latin America
CUST-10265,788,21,21,1083.58,68,North America
CUST-10266,567,20,20,500.14,34,Asia-Pacific
CUST-10267,950,35,35,6483.08,194,Asia-Pacific
CUST-10268,437,7,7,736.64,325,Latin America
CUST-10269,554,16,16,1316.13,55,Europe
CUST-10270,857,31,31,864.96,266,North America
CUST-10271,932,21,21,3077.91,42,North America
CUST-10272,65,29,29,6278.76,41,Europe
CUST-10273,714,7,7,1683.27,231,Asia-Pacific
CUST-10274,49,18,18,2741.27,5,North America
CUST-10275,350,15,15,2111.31,10,Latin America
CUST-10276,541,18,18,794.48,358,Asia-Pacific
CUST-10277,429,9,9,1336.47,128,Latin America
CUST-10278,683,38,38,4198.82,179,Asia-Pacific
CUST-10279,1001,27,27,4363.35,193,Europe
CUST-10280,500,35,35,3936.22,92,Latin America
CUST-10281,863,21,21,1660.41,231,Latin America
CUST-10282,756,10,10,463.67,78,Europe
CUST-10283,883,26,26,2492.27,85,Latin America
CUST-10284,80,38,38,1776.31,30,Asia-Pacific
CUST-10285,604,21,21,1360.84,213,North America
CUST-10286,179,9,9,2224.36,49,North America
CUST-10287,343,11,11,1374.16,265,Europe
CUST-10288,599,18,18,2604.08,145,Asia-Pacific
CUST-10289,334,41,41,9084.13,69,Latin America
CUST-10290,711,48,48,11952.14,58,Latin America
CUST-10291,867,9,9,1405.0,185,North America
CUST-10292,1032,22,22,4571.75,62,Latin America
CUST-10293,473,11,11,1084.18,308,North America
CUST-10294,642,6,6,562.75,296,Europe
CUST-10295,1022,25,25,2890.21,166,Latin America
CUST-10296,293,19,19,3349.97,171,Asia-Pacific
CUST-10297,1033,20,20,3569.86,63,Latin America
CUST-10298,34,15,15,1438.93,19,North America
CUST-10299,803,21,21,1154.42,306,Europe
CUST-10300,906,21,21,3513.07,161,North America
CUST-10301,1021,29,29,1562.33,141,Latin America
CUST-10302,913,9,9,1396.45,334,North America
CUST-10303,76,30,30,5430.6,62,North America
CUST-10304,896,28,28,5113.85,221,Europe
CUST-10305,852,21,21,4085.16,43,Asia-Pacific
CUST-10306,965,18,18,3985.08,292,Latin America
CUST-10307,685,16,16,2199.85,108,Europe
CUST-10308,298,16,16,3028.9,266,Asia-Pacific
CUST-10309,399,18,18,2957.65,95,North America
CUST-10310,665,5,5,334.97,262,Asia-Pacific
CUST-10311,686,61,61,1877.59,313,North America
CUST-10312,149,33,33,2937.72,129,North America
CUST-10313,860,49,49,6109.45,71,Europe
CUST-10314,770,26,26,4260.07,219,North America
CUST-10315,146,11,11,2378.65,21,Europe
CUST-10316,820,24,24,1659.73,92,Asia-Pacific
CUST-10317,1042,29,29,1544.21,127,Asia-Pacific
CUST-10318,663,9,9,2176.05,80,North America
CUST-10319,542,37,37,1824.47,312,Europe
CUST-10320,831,13,13,1724.59,238,North America
CUST-10321,589,27,27,4232.3,182,Europe
CUST-10322,517,41,41,6019.18,25,Europe
CUST-10323,926,21,21,931.5,156,Europe
CUST-10324,733,41,41,1551.07,5,Asia-Pacific
CUST-10325,610,5,5,243.67,120,Europe
CUST-10326,819,7,7,1097.3,277,Asia-Pacific
CUST-10327,890,9,9,1327.3,18,Europe
CUST-10328,276,4,4,310.37,198,Asia-Pacific
CUST-10329,183,41,41,6908.47,57,Latin America
CUST-10330,1026,35,35,7333.03,93,Asia-Pacific
CUST-10331,726,11,11,377.91,19,Asia-Pacific
CUST-10332,1038,59,59,8087.68,353,North America
CUST-10333,123,14,14,2521.33,65,Europe
CUST-10334,987,50,50,4088.51,237,Latin America
CUST-10335,1041,50,50,4712.42,277,North America
CUST-10336,482,11,11,1793.75,227,Europe
CUST-10337,941,29,29,6584.03,233,Latin America
CUST-10338,247,34,34,7045.92,40,Latin America
CUST-10339,503,11,11,1718.25,323,Latin America
CUST-10340,461,1,1,189.3,153,Europe
CUST-10341,370,29,29,3105.47,127,Latin America
CUST-10342,580,9,9,1522.96,237,Latin America
CUST-10343,386,16,16,2078.25,55,North America
CUST-10344,52,20,20,1354.71,20,Asia-Pacific
CUST-10345,551,25,25,4572.28,172,Europe
CUST-10346,831,14,14,2102.86,109,Asia-Pacific
CUST-10347,791,21,21,2219.49,354,North America
CUST-10348,471,36,36,8281.85,184,Asia-Pacific
CUST-10349,798,3,3,89.13,198,Latin America
CUST-10350,1045,5,5,480.24,87,Latin America
CUST-10351,545,7,7,264.59,201,Europe
CUST-10352,1069,12,12,2369.62,337,Europe
CUST-10353,821,28,28,5123.28,322,Europe
CUST-10354,365,33,33,3285.29,275,North America
CUST-10355,287,15,15,2655.36,211,Europe
CUST-10356,526,15,15,1711.29,118,North America
CUST-10357,925,39,39,7611.13,191,Latin America
CUST-10358,189,20,20,2543.83,42,Asia-Pacific
CUST-10359,881,13,13,1530.92,42,Latin America
CUST-10360,719,30,30,7059.43,315,Latin America
CUST-10361,409,28,28,2280.54,276,Latin America
CUST-10362,986,22,22,1146.21,329,Europe
CUST-10363,720,11,11,1721.74,17,Europe
CUST-10364,314,8,8,1944.78,283,Europe
CUST-10365,426,9,9,990.12,258,Asia-Pacific
CUST-10366,41,9,9,350.62,36,Europe
CUST-10367,528,9,9,912.09,19,North America
CUST-10368,783,12,12,1666.02,17,Latin America
CUST-10369,64,17,17,1044.36,5,Asia-Pacific
CUST-10370,756,19,19,3288.39,246,Asia-Pacific
CUST-10371,878,7,7,1746.46,251,Asia-Pacific
CUST-10372,119,20,20,2532.83,71,Asia-Pacific
CUST-10373,805,18,18,1886.65,81,Asia-Pacific
CUST-10374,634,16,16,1842.54,39,North America
CUST-10375,999,11,11,559.99,36,Latin America
CUST-10376,1051,7,7,1566.16,197,Asia-Pacific
CUST-10377,447,25,25,2958.39,158,Latin America
CUST-10378,144,18,18,2018.46,29,Europe
CUST-10379,646,22,22,3815.47,196,Asia-Pacific
CUST-10380,855,13,13,1617.95,307,Asia-Pacific
CUST-10381,442,12,12,2050.23,152,Latin America
CUST-10382,758,32,32,1242.41,14,Asia-Pacific
CUST-10383,1050,71,71,14774.23,325,Asia-Pacific
CUST-10384,790,14,14,3312.59,146,Asia-Pacific
CUST-10385,705,19,19,3248.47,57,North America
CUST-10386,486,16,16,3836.44,211,North America
CUST-10387,949,9,9,531.65,268,Asia-Pacific
CUST-10388,221,13,13,1721.44,210,North America
CUST-10389,768,53,53,8501.55,17,Europe
CUST-10390,1007,10,10,1558.91,286,Asia-Pacific
CUST-10391,1038,18,18,2075.92,344,Europe
CUST-10392,125,11,11,1111.76,75,Latin America
CUST-10393,692,17,17,910.1,99,Europe
CUST-10394,66,10,10,1131.42,23,Latin America
CUST-10395,308,12,12,739.18,209,Asia-Pacific
CUST-10396,246,5,5,951.16,129,Latin America
CUST-10397,896,18,18,1295.77,335,Latin America
CUST-10398,902,13,13,496.3,288,Europe
CUST-10399,91,24,24,3582.78,9,Europe
CUST-10400,625,17,17,2701.75,271,Europe
CUST-10401,758,10,10,2211.8,188,Asia-Pacific
CUST-10402,426,8,8,1238.57,214,Asia-Pacific
CUST-10403,728,17,17,1746.46,283,Europe
CUST-10404,1072,38,38,7815.75,211,Asia-Pacific
CUST-10405,206,11,11,1612.19,109,Asia-Pacific
CUST-10406,425,3,3,128.51,76,Latin America
CUST-10407,474,20,20,3046.33,148,Latin America
CUST-10408,105,35,35,8025.65,65,Europe
CUST-10409,294,24,24,2740.09,213,Asia-Pacific
CUST-10410,484,7,7,641.71,109,Latin America
CUST-10411,747,19,19,1088.33,129,North America
CUST-10412,764,29,29,1713.18,10,Asia-Pacific
CUST-10413,880,13,13,1590.86,47,North America
CUST-10414,173,12,12,1908.34,123,Europe
CUST-10415,914,12,12,517.66,315,Asia-Pacific
CUST-10416,425,15,15,3546.04,96,Europe
CUST-10417,1078,7,7,1364.34,103,Europe
CUST-10418,977,20,20,3139.81,342,Europe
CUST-10419,920,20,20,4227.97,146,Europe
CUST-10420,598,21,21,903.88,27,Europe
CUST-10421,1092,17,17,2248.91,220,Asia-Pacific
CUST-10422,138,7,7,1167.4,18,North America
CUST-10423,1095,14,14,2960.26,167,Asia-Pacific
CUST-10424,964,48,48,9661.47,82,Asia-Pacific
CUST-10425,427,20,20,1746.81,72,Asia-Pacific
CUST-10426,663,9,9,2130.28,310,Latin America
CUST-10427,762,25,25,1324.45,254,Latin America
CUST-10428,264,49,49,10873.35,162,Asia-Pacific
CUST-10429,687,22,22,5356.15,327,North America
CUST-10430,780,15,15,972.89,38,Asia-Pacific
CUST-10431,617,38,38,7123.66,201,Europe
CUST-10432,1062,12,12,408.77,200,Latin America
CUST-10433,983,32,32,3719.04,255,Latin America
CUST-10434,521,11,11,1552.8,179,Asia-Pacific
CUST-10435,942,13,13,2023.39,35,Asia-Pacific
CUST-10436,199,28,28,6596.4,82,North America
CUST-10437,975,37,37,6521.49,220,North America
CUST-10438,824,16,16,2132.6,158,Europe
CUST-10439,663,36,36,7458.37,4,Asia-Pacific
CUST-10440,58,22,22,5255.14,39,Asia-Pacific
CUST-10441,368,10,10,299.65,204,Asia-Pacific
CUST-10442,529,13,13,3198.87,194,Latin America
CUST-10443,540,24,24,1065.11,235,Europe
CUST-10444,246,39,39,8121.24,206,North America
CUST-10445,474,32,32,2818.41,150,Latin America
CUST-10446,905,32,32,1751.69,159,Latin America
CUST-10447,196,6,6,743.81,23,Latin America
CUST-10448,120,27,27,4587.04,48,Latin America
CUST-10449,743,26,26,2878.57,166,Europe
CUST-10450,68,21,21,782.82,55,Asia-Pacific
CUST-10451,202,26,26,4156.85,68,North America
CUST-10452,682,4,4,912.16,88,North America
CUST-10453,783,2,2,222.45,217,Latin America
CUST-10454,505,20,20,1473.5,1,Latin America
CUST-10455,485,17,17,2117.86,135,Europe
CUST-10456,858,15,15,538.22,185,Latin America
CUST-10457,924,23,23,4821.02,351,North America
CUST-10458,1054,20,20,4218.53,140,North America
CUST-10459,416,21,21,3303.3,106,Asia-Pacific
CUST-10460,377,30,30,3133.44,133,Asia-Pacific
CUST-10461,219,12,12,2459.42,108,North America
CUST-10462,534,22,22,3295.7,178,North America
CUST-10463,853,11,11,2319.18,298,Europe
CUST-10464,958,3,3,501.23,358,Europe
CUST-10465,963,14,14,2820.88,359,North America
CUST-10466,163,33,33,5269.33,146,Latin America
CUST-10467,87,9,9,1063.64,66,Asia-Pacific
CUST-10468,714,23,23,5532.37,74,North America
CUST-10469,701,30,30,4402.52,108,Latin America
CUST-10470,202,27,27,4350.92,122,North America
CUST-10471,844,11,11,820.71,17,Asia-Pacific
CUST-10472,109,10,10,1657.71,68,Asia-Pacific
CUST-10473,915,18,18,2765.01,327,Europe
CUST-10474,232,21,21,1398.36,62,Europe
CUST-10475,793,26,26,998.58,297,Europe
CUST-10476,76,26,26,4185.5,34,Europe
CUST-10477,685,72,72,14171.81,198,Asia-Pacific
CUST-10478,500,41,41,5853.38,45,Latin America
CUST-10479,1000,14,14,1064.33,314,Latin America
CUST-10480,1065,56,56,9798.18,179,Latin America
CUST-10481,765,7,7,301.17,44,North America
CUST-10482,813,8,8,995.3,271,Europe
CUST-10483,997,28,28,1729.21,78,Europe
CUST-10484,387,14,14,931.05,326,Asia-Pacific
CUST-10485,1001,41,41,2891.16,178,Asia-Pacific
CUST-10486,697,26,26,2912.24,357,North America
CUST-10487,402,16,16,584.14,3,North America
CUST-10488,1061,15,15,1717.55,214,Latin America
CUST-10489,705,15,15,2102.01,342,Asia-Pacific
CUST-10490,119,3,3,401.22,74,Europe
CUST-10491,727,9,9,1000.14,51,Latin America
CUST-10492,569,11,11,2351.89,67,Europe
CUST-10493,761,33,33,1904.05,332,Latin America
CUST-10494,898,11,11,1526.6,93,Europe
CUST-10495,70,22,22,857.11,48,North America
CUST-10496,769,15,15,615.15,145,Latin America
CUST-10497,531,9,9,1387.08,7,Europe
CUST-10498,988,21,21,3199.44,269,Europe
CUST-10499,958,17,17,3783.48,322,Asia-Pacific
CUST-10500,490,33,33,4967.21,4,Latin America
CUST-10501,761,13,13,3132.39,138,Europe
CUST-10502,781,11,11,395.52,231,Asia-Pacific
CUST-10503,954,29,29,1364.5,88,Europe
CUST-10504,938,15,15,523.72,17,Latin America
CUST-10505,419,31,31,2067.31,52,North America
CUST-10506,912,12,12,1761.43,134,Latin America
CUST-10507,285,19,19,3234.82,211,Latin America
CUST-10508,738,11,11,387.82,325,Europe
CUST-10509,479,9,9,2140.59,219,Europe
CUST-10510,39,2,2,428.97,13,Latin America
CUST-10511,853,42,42,3852.99,211,Asia-Pacific
CUST-10512,827,12,12,508.41,277,Asia-Pacific
CUST-10513,906,24,24,1517.39,24,Asia-Pacific
CUST-10514,1058,15,15,803.44,4,Europe
CUST-10515,1045,35,35,1845.86,152,Europe
CUST-10516,403,4,4,566.71,259,Latin America
CUST-10517,175,20,20,1606.31,68,North America
CUST-10518,253,28,28,2956.28,249,Europe
CUST-10519,206,18,18,4457.5,101,Latin America
CUST-10520,882,10,10,1789.71,168,Latin America
CUST-10521,92,4,4,954.08,48,North America
CUST-10522,856,11,11,627.83,310,Asia-Pacific
CUST-10523,824,3,3,332.94,291,Latin America
CUST-10524,718,27,27,4045.0,56,Latin America
CUST-10525,134,23,23,972.22,108,Latin America
CUST-10526,540,29,29,752.32,296,Asia-Pacific
CUST-10527,414,8,8,1406.78,324,Asia-Pacific
CUST-10528,434,7,7,1185.87,302,North America
CUST-10529,852,24,24,2818.26,334,Europe
CUST-10530,547,24,24,3244.08,141,Asia-Pacific
CUST-10531,505,4,4,473.9,155,Europe
CUST-10532,738,10,10,304.01,262,Europe
CUST-10533,800,44,44,4420.18,273,Asia-Pacific
CUST-10534,1076,28,28,1815.62,232,Latin America
CUST-10535,1026,15,15,707.18,241,North America
CUST-10536,706,7,7,1681.83,355,Europe
CUST-10537,743,8,8,1278.85,337,Latin America
CUST-10538,112,13,13,2456.32,105,Asia-Pacific
CUST-10539,486,5,5,479.78,258,Europe
CUST-10540,30,36,36,4084.49,25,Europe
CUST-10541,80,34,34,2662.47,77,Europe
CUST-10542,714,7,7,327.72,180,Latin America
CUST-10543,746,51,51,3329.39,66,Latin America
CUST-10544,478,12,12,2453.29,308,Latin America
CUST-10545,910,17,17,3016.61,348,Europe
CUST-10546,517,12,12,1776.71,171,Europe
CUST-10547,63,7,7,923.27,59,North America
CUST-10548,124,13,13,3023.12,90,North America
CUST-10549,183,4,4,165.46,22,Latin America
CUST-10550,279,13,13,1145.76,107,Latin America
CUST-10551,703,16,16,1659.78,323,Asia-Pacific
CUST-10552,467,20,20,4020.92,227,Latin America
CUST-10553,147,5,5,1241.58,140,North America
