customer_id,revenue,customer_type,value_segment
11610,112.56,Retail/SMB,Low-Value Retail (Bottom 25%)
11291,326.14,Retail/SMB,Mid-Market SMB (Middle 50%)
11079,519.45,Retail/SMB,Mid-Market SMB (Middle 50%)
10255,362.52,Retail/SMB,Mid-Market SMB (Middle 50%)
10125,691.59,Retail/SMB,High-Value Enterprise (Top 25%)
11928,9879.04,Enterprise VIP,High-Value Enterprise (Top 25%)
10252,779.96,Retail/SMB,High-Value Enterprise (Top 25%)
10586,460.43,Retail/SMB,Mid-Market SMB (Middle 50%)
11569,556.47,Retail/SMB,Mid-Market SMB (Middle 50%)
10825,507.75,Retail/SMB,Mid-Market SMB (Middle 50%)
10508,1215.47,Retail/SMB,High-Value Enterprise (Top 25%)
10890,634.12,Retail/SMB,High-Value Enterprise (Top 25%)
10071,377.61,Retail/SMB,Mid-Market SMB (Middle 50%)
11609,735.86,Retail/SMB,High-Value Enterprise (Top 25%)
11533,278.6,Retail/SMB,Low-Value Retail (Bottom 25%)
10248,442.12,Retail/SMB,Mid-Market SMB (Middle 50%)
11451,912.38,Retail/SMB,High-Value Enterprise (Top 25%)
10213,489.36,Retail/SMB,Mid-Market SMB (Middle 50%)
10910,379.49,Retail/SMB,Mid-Market SMB (Middle 50%)
11742,198.54,Retail/SMB,Low-Value Retail (Bottom 25%)
11245,354.15,Retail/SMB,Mid-Market SMB (Middle 50%)
11697,326.37,Retail/SMB,Mid-Market SMB (Middle 50%)
11183,502.14,Retail/SMB,Mid-Market SMB (Middle 50%)
10362,854.52,Retail/SMB,High-Value Enterprise (Top 25%)
11474,521.81,Retail/SMB,Mid-Market SMB (Middle 50%)
10679,643.78,Retail/SMB,High-Value Enterprise (Top 25%)
11622,534.46,Retail/SMB,Mid-Market SMB (Middle 50%)
11090,696.92,Retail/SMB,High-Value Enterprise (Top 25%)
11988,14041.9,Enterprise VIP,High-Value Enterprise (Top 25%)
11848,246.97,Retail/SMB,Low-Value Retail (Bottom 25%)
10988,395.33,Retail/SMB,Mid-Market SMB (Middle 50%)
11513,367.44,Retail/SMB,Mid-Market SMB (Middle 50%)
10112,528.03,Retail/SMB,Mid-Market SMB (Middle 50%)
11488,343.34,Retail/SMB,Mid-Market SMB (Middle 50%)
11454,195.18,Retail/SMB,Low-Value Retail (Bottom 25%)
10384,410.19,Retail/SMB,Mid-Market SMB (Middle 50%)
11396,582.01,Retail/SMB,Mid-Market SMB (Middle 50%)
11055,613.8,Retail/SMB,Mid-Market SMB (Middle 50%)
10756,122.73,Retail/SMB,Low-Value Retail (Bottom 25%)
10325,384.94,Retail/SMB,Mid-Market SMB (Middle 50%)
11624,112.81,Retail/SMB,Low-Value Retail (Bottom 25%)
10788,1062.43,Retail/SMB,High-Value Enterprise (Top 25%)
10369,332.94,Retail/SMB,Mid-Market SMB (Middle 50%)
11820,558.58,Retail/SMB,Mid-Market SMB (Middle 50%)
10070,1188.12,Retail/SMB,High-Value Enterprise (Top 25%)
10858,416.38,Retail/SMB,Mid-Market SMB (Middle 50%)
11484,234.18,Retail/SMB,Low-Value Retail (Bottom 25%)
11556,376.8,Retail/SMB,Mid-Market SMB (Middle 50%)
11692,305.15,Retail/SMB,Low-Value Retail (Bottom 25%)
11475,808.37,Retail/SMB,High-Value Enterprise (Top 25%)
11799,830.81,Retail/SMB,High-Value Enterprise (Top 25%)
10479,274.51,Retail/SMB,Low-Value Retail (Bottom 25%)
10282,486.66,Retail/SMB,Mid-Market SMB (Middle 50%)
11648,301.65,Retail/SMB,Low-Value Retail (Bottom 25%)
11557,374.94,Retail/SMB,Mid-Market SMB (Middle 50%)
11730,378.91,Retail/SMB,Mid-Market SMB (Middle 50%)
10211,413.18,Retail/SMB,Mid-Market SMB (Middle 50%)
10298,293.75,Retail/SMB,Low-Value Retail (Bottom 25%)
11885,13611.31,Enterprise VIP,High-Value Enterprise (Top 25%)
11834,251.37,Retail/SMB,Low-Value Retail (Bottom 25%)
10652,490.79,Retail/SMB,Mid-Market SMB (Middle 50%)
11234,554.81,Retail/SMB,Mid-Market SMB (Middle 50%)
11503,123.94,Retail/SMB,Low-Value Retail (Bottom 25%)
11932,13959.8,Enterprise VIP,High-Value Enterprise (Top 25%)
10917,165.62,Retail/SMB,Low-Value Retail (Bottom 25%)
10994,660.03,Retail/SMB,High-Value Enterprise (Top 25%)
10430,536.82,Retail/SMB,Mid-Market SMB (Middle 50%)
11371,412.12,Retail/SMB,Mid-Market SMB (Middle 50%)
10240,427.14,Retail/SMB,Mid-Market SMB (Middle 50%)
10880,524.64,Retail/SMB,Mid-Market SMB (Middle 50%)
10621,433.61,Retail/SMB,Mid-Market SMB (Middle 50%)
10257,866.7,Retail/SMB,High-Value Enterprise (Top 25%)
10612,718.58,Retail/SMB,High-Value Enterprise (Top 25%)
10545,396.41,Retail/SMB,Mid-Market SMB (Middle 50%)
10772,306.37,Retail/SMB,Low-Value Retail (Bottom 25%)
11420,354.07,Retail/SMB,Mid-Market SMB (Middle 50%)
11042,218.49,Retail/SMB,Low-Value Retail (Bottom 25%)
11790,587.27,Retail/SMB,Mid-Market SMB (Middle 50%)
10760,449.43,Retail/SMB,Mid-Market SMB (Middle 50%)
10383,387.22,Retail/SMB,Mid-Market SMB (Middle 50%)
11104,303.08,Retail/SMB,Low-Value Retail (Bottom 25%)
10974,586.4,Retail/SMB,Mid-Market SMB (Middle 50%)
10353,955.27,Retail/SMB,High-Value Enterprise (Top 25%)
11606,509.91,Retail/SMB,Mid-Market SMB (Middle 50%)
11826,368.6,Retail/SMB,Mid-Market SMB (Middle 50%)
11037,518.04,Retail/SMB,Mid-Market SMB (Middle 50%)
11108,537.69,Retail/SMB,Mid-Market SMB (Middle 50%)
10495,566.27,Retail/SMB,Mid-Market SMB (Middle 50%)
10394,589.66,Retail/SMB,Mid-Market SMB (Middle 50%)
11547,401.61,Retail/SMB,Mid-Market SMB (Middle 50%)
10465,254.66,Retail/SMB,Low-Value Retail (Bottom 25%)
10887,820.59,Retail/SMB,High-Value Enterprise (Top 25%)
11194,606.64,Retail/SMB,Mid-Market SMB (Middle 50%)
10367,694.9,Retail/SMB,High-Value Enterprise (Top 25%)
11894,10815.84,Enterprise VIP,High-Value Enterprise (Top 25%)
11874,11054.25,Enterprise VIP,High-Value Enterprise (Top 25%)
10745,423.1,Retail/SMB,Mid-Market SMB (Middle 50%)
10530,329.39,Retail/SMB,Mid-Market SMB (Middle 50%)
10803,276.28,Retail/SMB,Low-Value Retail (Bottom 25%)
11224,1035.85,Retail/SMB,High-Value Enterprise (Top 25%)
11979,12171.54,Enterprise VIP,High-Value Enterprise (Top 25%)
11906,9978.51,Enterprise VIP,High-Value Enterprise (Top 25%)
11700,458.81,Retail/SMB,Mid-Market SMB (Middle 50%)
11545,911.26,Retail/SMB,High-Value Enterprise (Top 25%)
11314,575.63,Retail/SMB,Mid-Market SMB (Middle 50%)
10307,597.64,Retail/SMB,Mid-Market SMB (Middle 50%)
11667,307.44,Retail/SMB,Mid-Market SMB (Middle 50%)
10863,399.8,Retail/SMB,Mid-Market SMB (Middle 50%)
11567,274.16,Retail/SMB,Low-Value Retail (Bottom 25%)
10531,459.64,Retail/SMB,Mid-Market SMB (Middle 50%)
10655,723.69,Retail/SMB,High-Value Enterprise (Top 25%)
11260,636.52,Retail/SMB,High-Value Enterprise (Top 25%)
10234,325.28,Retail/SMB,Mid-Market SMB (Middle 50%)
10121,256.31,Retail/SMB,Low-Value Retail (Bottom 25%)
11698,132.92,Retail/SMB,Low-Value Retail (Bottom 25%)
10950,339.4,Retail/SMB,Mid-Market SMB (Middle 50%)
10618,714.95,Retail/SMB,High-Value Enterprise (Top 25%)
11179,563.49,Retail/SMB,Mid-Market SMB (Middle 50%)
10308,291.74,Retail/SMB,Low-Value Retail (Bottom 25%)
10136,133.17,Retail/SMB,Low-Value Retail (Bottom 25%)
10555,460.19,Retail/SMB,Mid-Market SMB (Middle 50%)
11674,592.56,Retail/SMB,Mid-Market SMB (Middle 50%)
10584,566.85,Retail/SMB,Mid-Market SMB (Middle 50%)
11641,464.32,Retail/SMB,Mid-Market SMB (Middle 50%)
10671,785.01,Retail/SMB,High-Value Enterprise (Top 25%)
10835,374.31,Retail/SMB,Mid-Market SMB (Middle 50%)
10110,260.42,Retail/SMB,Low-Value Retail (Bottom 25%)
11165,84.18,Retail/SMB,Low-Value Retail (Bottom 25%)
11960,7500.12,Enterprise VIP,High-Value Enterprise (Top 25%)
11465,562.84,Retail/SMB,Mid-Market SMB (Middle 50%)
11729,447.58,Retail/SMB,Mid-Market SMB (Middle 50%)
11243,245.34,Retail/SMB,Low-Value Retail (Bottom 25%)
10212,358.82,Retail/SMB,Mid-Market SMB (Middle 50%)
11768,205.83,Retail/SMB,Low-Value Retail (Bottom 25%)
11121,590.58,Retail/SMB,Mid-Market SMB (Middle 50%)
10680,164.79,Retail/SMB,Low-Value Retail (Bottom 25%)
11951,9088.61,Enterprise VIP,High-Value Enterprise (Top 25%)
11839,423.5,Retail/SMB,Mid-Market SMB (Middle 50%)
10412,311.86,Retail/SMB,Mid-Market SMB (Middle 50%)
11325,323.55,Retail/SMB,Mid-Market SMB (Middle 50%)
10783,159.92,Retail/SMB,Low-Value Retail (Bottom 25%)
11346,406.86,Retail/SMB,Mid-Market SMB (Middle 50%)
10875,535.8,Retail/SMB,Mid-Market SMB (Middle 50%)
11653,377.98,Retail/SMB,Mid-Market SMB (Middle 50%)
11279,142.15,Retail/SMB,Low-Value Retail (Bottom 25%)
10786,578.05,Retail/SMB,Mid-Market SMB (Middle 50%)
11819,280.11,Retail/SMB,Low-Value Retail (Bottom 25%)
11199,576.72,Retail/SMB,Mid-Market SMB (Middle 50%)
10808,646.48,Retail/SMB,High-Value Enterprise (Top 25%)
10713,468.68,Retail/SMB,Mid-Market SMB (Middle 50%)
11991,6965.43,Enterprise VIP,High-Value Enterprise (Top 25%)
11660,246.46,Retail/SMB,Low-Value Retail (Bottom 25%)
11191,370.46,Retail/SMB,Mid-Market SMB (Middle 50%)
11226,457.52,Retail/SMB,Mid-Market SMB (Middle 50%)
10603,690.29,Retail/SMB,High-Value Enterprise (Top 25%)
10271,988.05,Retail/SMB,High-Value Enterprise (Top 25%)
11385,532.32,Retail/SMB,Mid-Market SMB (Middle 50%)
10232,938.66,Retail/SMB,High-Value Enterprise (Top 25%)
10050,497.52,Retail/SMB,Mid-Market SMB (Middle 50%)
10463,354.89,Retail/SMB,Mid-Market SMB (Middle 50%)
11106,683.59,Retail/SMB,High-Value Enterprise (Top 25%)
10856,555.83,Retail/SMB,Mid-Market SMB (Middle 50%)
10694,286.71,Retail/SMB,Low-Value Retail (Bottom 25%)
11552,268.69,Retail/SMB,Low-Value Retail (Bottom 25%)
11873,7123.85,Enterprise VIP,High-Value Enterprise (Top 25%)
10527,849.14,Retail/SMB,High-Value Enterprise (Top 25%)
10174,298.47,Retail/SMB,Low-Value Retail (Bottom 25%)
10721,454.06,Retail/SMB,Mid-Market SMB (Middle 50%)
10415,449.8,Retail/SMB,Mid-Market SMB (Middle 50%)
10238,738.6,Retail/SMB,High-Value Enterprise (Top 25%)
11473,575.53,Retail/SMB,Mid-Market SMB (Middle 50%)
11336,834.33,Retail/SMB,High-Value Enterprise (Top 25%)
11064,152.22,Retail/SMB,Low-Value Retail (Bottom 25%)
10024,460.26,Retail/SMB,Mid-Market SMB (Middle 50%)
11767,342.54,Retail/SMB,Mid-Market SMB (Middle 50%)
10064,508.81,Retail/SMB,Mid-Market SMB (Middle 50%)
10290,633.45,Retail/SMB,High-Value Enterprise (Top 25%)
10189,489.7,Retail/SMB,Mid-Market SMB (Middle 50%)
10702,386.69,Retail/SMB,Mid-Market SMB (Middle 50%)
11815,649.35,Retail/SMB,High-Value Enterprise (Top 25%)
11138,377.32,Retail/SMB,Mid-Market SMB (Middle 50%)
10355,821.71,Retail/SMB,High-Value Enterprise (Top 25%)
10417,149.35,Retail/SMB,Low-Value Retail (Bottom 25%)
11246,416.95,Retail/SMB,Mid-Market SMB (Middle 50%)
10931,337.2,Retail/SMB,Mid-Market SMB (Middle 50%)
10197,660.01,Retail/SMB,High-Value Enterprise (Top 25%)
10580,645.57,Retail/SMB,High-Value Enterprise (Top 25%)
11135,160.59,Retail/SMB,Low-Value Retail (Bottom 25%)
11814,457.52,Retail/SMB,Mid-Market SMB (Middle 50%)
11935,7500.02,Enterprise VIP,High-Value Enterprise (Top 25%)
10434,242.46,Retail/SMB,Low-Value Retail (Bottom 25%)
10101,656.63,Retail/SMB,High-Value Enterprise (Top 25%)
11655,217.95,Retail/SMB,Low-Value Retail (Bottom 25%)
10395,220.52,Retail/SMB,Low-Value Retail (Bottom 25%)
11939,9546.9,Enterprise VIP,High-Value Enterprise (Top 25%)
10221,1060.8,Retail/SMB,High-Value Enterprise (Top 25%)
11676,391.61,Retail/SMB,Mid-Market SMB (Middle 50%)
11498,624.11,Retail/SMB,Mid-Market SMB (Middle 50%)
11785,636.83,Retail/SMB,High-Value Enterprise (Top 25%)
10345,323.76,Retail/SMB,Mid-Market SMB (Middle 50%)
11028,322.79,Retail/SMB,Mid-Market SMB (Middle 50%)
10889,85.25,Retail/SMB,Low-Value Retail (Bottom 25%)
11351,399.65,Retail/SMB,Mid-Market SMB (Middle 50%)
10553,568.82,Retail/SMB,Mid-Market SMB (Middle 50%)
10744,276.45,Retail/SMB,Low-Value Retail (Bottom 25%)
11542,547.04,Retail/SMB,Mid-Market SMB (Middle 50%)
10539,102.94,Retail/SMB,Low-Value Retail (Bottom 25%)
10907,639.71,Retail/SMB,High-Value Enterprise (Top 25%)
11395,192.72,Retail/SMB,Low-Value Retail (Bottom 25%)
10116,401.84,Retail/SMB,Mid-Market SMB (Middle 50%)
10830,1248.11,Retail/SMB,High-Value Enterprise (Top 25%)
11938,11022.73,Enterprise VIP,High-Value Enterprise (Top 25%)
10809,832.56,Retail/SMB,High-Value Enterprise (Top 25%)
11311,517.44,Retail/SMB,Mid-Market SMB (Middle 50%)
11005,380.89,Retail/SMB,Mid-Market SMB (Middle 50%)
10306,438.52,Retail/SMB,Mid-Market SMB (Middle 50%)
11101,410.92,Retail/SMB,Mid-Market SMB (Middle 50%)
10480,409.78,Retail/SMB,Mid-Market SMB (Middle 50%)
11424,249.84,Retail/SMB,Low-Value Retail (Bottom 25%)
11076,583.08,Retail/SMB,Mid-Market SMB (Middle 50%)
10571,371.96,Retail/SMB,Mid-Market SMB (Middle 50%)
10619,407.22,Retail/SMB,Mid-Market SMB (Middle 50%)
11898,8845.4,Enterprise VIP,High-Value Enterprise (Top 25%)
11266,165.5,Retail/SMB,Low-Value Retail (Bottom 25%)
10079,167.06,Retail/SMB,Low-Value Retail (Bottom 25%)
11912,14195.72,Enterprise VIP,High-Value Enterprise (Top 25%)
10033,289.36,Retail/SMB,Low-Value Retail (Bottom 25%)
11538,494.01,Retail/SMB,Mid-Market SMB (Middle 50%)
11034,389.87,Retail/SMB,Mid-Market SMB (Middle 50%)
11563,404.13,Retail/SMB,Mid-Market SMB (Middle 50%)
10352,511.08,Retail/SMB,Mid-Market SMB (Middle 50%)
10164,180.65,Retail/SMB,Low-Value Retail (Bottom 25%)
10204,468.28,Retail/SMB,Mid-Market SMB (Middle 50%)
11054,389.25,Retail/SMB,Mid-Market SMB (Middle 50%)
11365,681.02,Retail/SMB,High-Value Enterprise (Top 25%)
11967,13042.37,Enterprise VIP,High-Value Enterprise (Top 25%)
10496,838.98,Retail/SMB,High-Value Enterprise (Top 25%)
11625,900.31,Retail/SMB,High-Value Enterprise (Top 25%)
11966,11062.74,Enterprise VIP,High-Value Enterprise (Top 25%)
11963,6920.27,Enterprise VIP,High-Value Enterprise (Top 25%)
10611,411.7,Retail/SMB,Mid-Market SMB (Middle 50%)
10433,184.22,Retail/SMB,Low-Value Retail (Bottom 25%)
11492,292.54,Retail/SMB,Low-Value Retail (Bottom 25%)
10219,422.32,Retail/SMB,Mid-Market SMB (Middle 50%)
11931,12921.9,Enterprise VIP,High-Value Enterprise (Top 25%)
11466,298.19,Retail/SMB,Low-Value Retail (Bottom 25%)
10631,402.09,Retail/SMB,Mid-Market SMB (Middle 50%)
11382,282.95,Retail/SMB,Low-Value Retail (Bottom 25%)
11302,472.45,Retail/SMB,Mid-Market SMB (Middle 50%)
10060,474.96,Retail/SMB,Mid-Market SMB (Middle 50%)
10299,322.07,Retail/SMB,Mid-Market SMB (Middle 50%)
11711,349.76,Retail/SMB,Mid-Market SMB (Middle 50%)
10074,597.79,Retail/SMB,Mid-Market SMB (Middle 50%)
10163,803.59,Retail/SMB,High-Value Enterprise (Top 25%)
11275,72.68,Retail/SMB,Low-Value Retail (Bottom 25%)
11594,483.0,Retail/SMB,Mid-Market SMB (Middle 50%)
11434,308.4,Retail/SMB,Mid-Market SMB (Middle 50%)
11613,290.88,Retail/SMB,Low-Value Retail (Bottom 25%)
10592,306.86,Retail/SMB,Low-Value Retail (Bottom 25%)
10317,306.31,Retail/SMB,Low-Value Retail (Bottom 25%)
10046,844.79,Retail/SMB,High-Value Enterprise (Top 25%)
11720,171.27,Retail/SMB,Low-Value Retail (Bottom 25%)
11832,633.38,Retail/SMB,High-Value Enterprise (Top 25%)
10428,135.8,Retail/SMB,Low-Value Retail (Bottom 25%)
10582,294.37,Retail/SMB,Low-Value Retail (Bottom 25%)
10077,240.3,Retail/SMB,Low-Value Retail (Bottom 25%)
11917,7585.9,Enterprise VIP,High-Value Enterprise (Top 25%)
11415,391.05,Retail/SMB,Mid-Market SMB (Middle 50%)
10781,256.16,Retail/SMB,Low-Value Retail (Bottom 25%)
11920,9958.5,Enterprise VIP,High-Value Enterprise (Top 25%)
11174,558.06,Retail/SMB,Mid-Market SMB (Middle 50%)
11320,427.74,Retail/SMB,Mid-Market SMB (Middle 50%)
10938,723.05,Retail/SMB,High-Value Enterprise (Top 25%)
10031,489.69,Retail/SMB,Mid-Market SMB (Middle 50%)
11092,325.98,Retail/SMB,Mid-Market SMB (Middle 50%)
11616,63.6,Retail/SMB,Low-Value Retail (Bottom 25%)
11230,834.23,Retail/SMB,High-Value Enterprise (Top 25%)
10975,331.38,Retail/SMB,Mid-Market SMB (Middle 50%)
11085,298.78,Retail/SMB,Low-Value Retail (Bottom 25%)
10515,534.21,Retail/SMB,Mid-Market SMB (Middle 50%)
11551,565.39,Retail/SMB,Mid-Market SMB (Middle 50%)
11568,198.15,Retail/SMB,Low-Value Retail (Bottom 25%)
11811,968.09,Retail/SMB,High-Value Enterprise (Top 25%)
11574,484.28,Retail/SMB,Mid-Market SMB (Middle 50%)
10045,409.54,Retail/SMB,Mid-Market SMB (Middle 50%)
11687,959.29,Retail/SMB,High-Value Enterprise (Top 25%)
10169,852.07,Retail/SMB,High-Value Enterprise (Top 25%)
10304,306.33,Retail/SMB,Low-Value Retail (Bottom 25%)
10991,715.27,Retail/SMB,High-Value Enterprise (Top 25%)
10556,586.29,Retail/SMB,Mid-Market SMB (Middle 50%)
11925,9656.3,Enterprise VIP,High-Value Enterprise (Top 25%)
10608,783.66,Retail/SMB,High-Value Enterprise (Top 25%)
11619,786.33,Retail/SMB,High-Value Enterprise (Top 25%)
10758,557.73,Retail/SMB,Mid-Market SMB (Middle 50%)
10439,443.52,Retail/SMB,Mid-Market SMB (Middle 50%)
10583,637.25,Retail/SMB,High-Value Enterprise (Top 25%)
11519,693.94,Retail/SMB,High-Value Enterprise (Top 25%)
10528,559.78,Retail/SMB,Mid-Market SMB (Middle 50%)
10343,261.56,Retail/SMB,Low-Value Retail (Bottom 25%)
11737,553.52,Retail/SMB,Mid-Market SMB (Middle 50%)
10368,384.47,Retail/SMB,Mid-Market SMB (Middle 50%)
10186,614.54,Retail/SMB,Mid-Market SMB (Middle 50%)
11117,297.78,Retail/SMB,Low-Value Retail (Bottom 25%)
11755,409.18,Retail/SMB,Mid-Market SMB (Middle 50%)
11426,357.58,Retail/SMB,Mid-Market SMB (Middle 50%)
10301,264.5,Retail/SMB,Low-Value Retail (Bottom 25%)
11904,9501.67,Enterprise VIP,High-Value Enterprise (Top 25%)
10833,388.41,Retail/SMB,Mid-Market SMB (Middle 50%)
10544,570.77,Retail/SMB,Mid-Market SMB (Middle 50%)
11601,465.65,Retail/SMB,Mid-Market SMB (Middle 50%)
10351,250.48,Retail/SMB,Low-Value Retail (Bottom 25%)
11933,11571.46,Enterprise VIP,High-Value Enterprise (Top 25%)
11511,560.96,Retail/SMB,Mid-Market SMB (Middle 50%)
10979,692.46,Retail/SMB,High-Value Enterprise (Top 25%)
10176,624.51,Retail/SMB,Mid-Market SMB (Middle 50%)
10483,373.33,Retail/SMB,Mid-Market SMB (Middle 50%)
11413,527.88,Retail/SMB,Mid-Market SMB (Middle 50%)
11611,304.97,Retail/SMB,Low-Value Retail (Bottom 25%)
10124,218.6,Retail/SMB,Low-Value Retail (Bottom 25%)
10600,847.96,Retail/SMB,High-Value Enterprise (Top 25%)
11795,289.35,Retail/SMB,Low-Value Retail (Bottom 25%)
11746,505.16,Retail/SMB,Mid-Market SMB (Middle 50%)
11379,271.96,Retail/SMB,Low-Value Retail (Bottom 25%)
11186,871.56,Retail/SMB,High-Value Enterprise (Top 25%)
10486,453.41,Retail/SMB,Mid-Market SMB (Middle 50%)
10332,116.94,Retail/SMB,Low-Value Retail (Bottom 25%)
10789,301.36,Retail/SMB,Low-Value Retail (Bottom 25%)
10195,414.5,Retail/SMB,Mid-Market SMB (Middle 50%)
10638,388.18,Retail/SMB,Mid-Market SMB (Middle 50%)
10472,316.71,Retail/SMB,Mid-Market SMB (Middle 50%)
11714,903.94,Retail/SMB,High-Value Enterprise (Top 25%)
10323,301.65,Retail/SMB,Low-Value Retail (Bottom 25%)
11197,587.98,Retail/SMB,Mid-Market SMB (Middle 50%)
10267,314.43,Retail/SMB,Mid-Market SMB (Middle 50%)
11544,217.49,Retail/SMB,Low-Value Retail (Bottom 25%)
11804,480.23,Retail/SMB,Mid-Market SMB (Middle 50%)
10068,411.5,Retail/SMB,Mid-Market SMB (Middle 50%)
11738,284.41,Retail/SMB,Low-Value Retail (Bottom 25%)
11593,865.78,Retail/SMB,High-Value Enterprise (Top 25%)
11564,527.28,Retail/SMB,Mid-Market SMB (Middle 50%)
10481,468.78,Retail/SMB,Mid-Market SMB (Middle 50%)
11757,518.3,Retail/SMB,Mid-Market SMB (Middle 50%)
11913,9353.51,Enterprise VIP,High-Value Enterprise (Top 25%)
11441,435.54,Retail/SMB,Mid-Market SMB (Middle 50%)
11461,98.98,Retail/SMB,Low-Value Retail (Bottom 25%)
10888,362.19,Retail/SMB,Mid-Market SMB (Middle 50%)
10423,242.09,Retail/SMB,Low-Value Retail (Bottom 25%)
11675,481.39,Retail/SMB,Mid-Market SMB (Middle 50%)
11450,479.5,Retail/SMB,Mid-Market SMB (Middle 50%)
10765,417.74,Retail/SMB,Mid-Market SMB (Middle 50%)
10520,500.29,Retail/SMB,Mid-Market SMB (Middle 50%)
11432,515.84,Retail/SMB,Mid-Market SMB (Middle 50%)
10614,57.68,Retail/SMB,Low-Value Retail (Bottom 25%)
11531,987.24,Retail/SMB,High-Value Enterprise (Top 25%)
11783,350.79,Retail/SMB,Mid-Market SMB (Middle 50%)
11659,604.68,Retail/SMB,Mid-Market SMB (Middle 50%)
10454,515.02,Retail/SMB,Mid-Market SMB (Middle 50%)
10731,586.05,Retail/SMB,Mid-Market SMB (Middle 50%)
10535,502.33,Retail/SMB,Mid-Market SMB (Middle 50%)
10966,566.74,Retail/SMB,Mid-Market SMB (Middle 50%)
11285,226.37,Retail/SMB,Low-Value Retail (Bottom 25%)
11740,873.92,Retail/SMB,High-Value Enterprise (Top 25%)
10262,398.48,Retail/SMB,Mid-Market SMB (Middle 50%)
10536,845.09,Retail/SMB,High-Value Enterprise (Top 25%)
10969,963.81,Retail/SMB,High-Value Enterprise (Top 25%)
10241,328.73,Retail/SMB,Mid-Market SMB (Middle 50%)
10820,479.95,Retail/SMB,Mid-Market SMB (Middle 50%)
10693,204.98,Retail/SMB,Low-Value Retail (Bottom 25%)
10421,272.83,Retail/SMB,Low-Value Retail (Bottom 25%)
11086,122.37,Retail/SMB,Low-Value Retail (Bottom 25%)
11999,11167.83,Enterprise VIP,High-Value Enterprise (Top 25%)
10366,429.03,Retail/SMB,Mid-Market SMB (Middle 50%)
11023,421.63,Retail/SMB,Mid-Market SMB (Middle 50%)
11241,928.82,Retail/SMB,High-Value Enterprise (Top 25%)
10589,293.62,Retail/SMB,Low-Value Retail (Bottom 25%)
10737,505.07,Retail/SMB,Mid-Market SMB (Middle 50%)
11762,284.28,Retail/SMB,Low-Value Retail (Bottom 25%)
10942,453.86,Retail/SMB,Mid-Market SMB (Middle 50%)
10072,484.38,Retail/SMB,Mid-Market SMB (Middle 50%)
11408,493.46,Retail/SMB,Mid-Market SMB (Middle 50%)
10260,405.43,Retail/SMB,Mid-Market SMB (Middle 50%)
10052,319.46,Retail/SMB,Mid-Market SMB (Middle 50%)
10199,510.96,Retail/SMB,Mid-Market SMB (Middle 50%)
11789,299.32,Retail/SMB,Low-Value Retail (Bottom 25%)
10651,403.64,Retail/SMB,Mid-Market SMB (Middle 50%)
10333,237.73,Retail/SMB,Low-Value Retail (Bottom 25%)
11360,217.87,Retail/SMB,Low-Value Retail (Bottom 25%)
10594,516.66,Retail/SMB,Mid-Market SMB (Middle 50%)
