transactions_per_month,support_tickets,churn
18.3,4,0
16.15,1,0
10.94,14,1
8.03,13,1
10.5,9,1
17.09,5,0
19.49,5,0
6.23,11,1
6.09,14,1
1.94,13,1
8.69,12,1
11.1,10,1
18.66,2,0
16.27,3,0
2.42,13,1
11.65,9,1
22.77,0,0
17.3,1,0
10.93,10,1
16.79,0,0
18.5,2,0
10.98,8,1
8.1,10,1
8.7,9,1
15.85,4,0
10.08,10,1
13.82,4,0
14.32,6,0
8.72,11,1
8.06,10,1
10.85,13,1
8.43,10,1
10.14,9,1
16.64,1,0
18.08,6,0
17.13,3,0
14.47,4,0
7.62,14,1
14.5,6,0
7.13,13,1
9.84,10,1
6.58,13,1
13.14,7,0
10.26,9,1
16.25,7,0
14.53,3,0
12.24,11,1
15.57,4,0
20.23,1,0
11.98,10,1
16.08,3,0
7.62,14,1
0.5,14,1
4.84,13,1
12.6,6,0
17.26,1,0
5.65,14,1
14.35,6,0
6.91,14,1
6.03,14,1
5.87,13,1
16.32,5,0
14.47,6,0
9.11,13,1
16.8,5,0
17.52,2,0
9.85,8,1
4.65,15,1
8.46,10,1
10.82,8,1
19.08,1,0
12.21,10,1
5.05,15,1
17.93,2,0
12.51,8,1
5.81,14,1
7.04,11,1
6.03,10,0
8.07,11,1
15.55,5,0
14.19,5,0
7.38,11,1
8.78,13,1
8.04,13,1
4.14,14,1
14.32,8,1
14.73,7,0
5.77,12,1
8.6,10,1
11.85,11,1
7.77,12,1
2.21,14,1
12.13,4,0
13.87,6,0
16.26,1,0
10.5,8,1
19.53,0,0
15.94,7,0
11.28,9,1
17.85,4,0
14.0,9,1
22.41,0,0
20.01,1,0
3.73,12,1
15.52,6,0
20.19,2,0
12.0,8,1
11.94,11,1
18.48,3,1
11.79,10,1
20.89,1,0
19.89,1,0
7.04,8,1
10.89,8,0
12.83,10,1
7.49,10,1
4.92,15,1
10.17,8,1
18.72,5,0
11.44,12,1
14.17,4,0
13.71,6,0
17.46,1,0
20.85,0,0
6.58,14,1
9.08,13,1
10.22,10,1
19.74,6,0
15.34,3,0
14.23,2,0
15.46,3,0
8.63,9,0
6.3,10,1
8.09,10,1
13.96,4,0
3.77,15,1
9.97,11,1
10.67,8,1
10.47,10,1
15.49,7,0
14.75,4,0
14.13,5,0
9.36,11,1
15.9,0,0
13.49,2,0
20.0,1,0
20.37,1,0
11.3,13,1
9.76,10,1
14.53,8,0
18.14,1,0
13.22,7,1
16.23,7,0
13.15,3,0
14.32,8,0
18.29,6,1
11.33,9,1
13.77,10,1
18.06,1,0
14.32,5,0
10.68,10,1
8.02,8,0
4.82,13,1
7.93,10,1
19.2,3,0
20.69,1,0
11.01,9,0
21.25,0,0
10.89,8,1
8.3,14,1
11.39,9,1
14.29,6,0
9.82,10,1
14.5,7,0
10.97,8,1
7.83,14,1
11.94,6,0
3.38,15,1
7.79,14,1
16.89,3,0
18.05,1,0
20.27,1,0
18.51,0,0
18.18,2,0
12.55,10,1
22.01,1,0
18.36,5,0
6.76,13,1
22.11,0,0
5.89,12,1
13.96,4,0
13.53,2,0
12.89,10,1
8.84,9,1
6.58,14,1
7.15,11,1
9.34,12,1
15.02,5,0
14.73,3,0
9.62,12,1
5.03,12,1
3.47,15,1
9.6,6,1
11.57,6,0
8.71,12,1
10.96,5,0
3.08,14,1
7.12,12,1
12.48,7,0
12.72,11,1
12.35,11,1
16.72,1,0
7.58,14,1
13.92,7,0
6.41,13,1
12.21,5,0
6.54,13,1
13.82,5,0
18.97,1,0
7.3,14,1
17.13,1,0
12.91,5,0
5.97,14,1
6.51,15,1
9.05,9,1
12.38,9,1
9.73,6,0
14.45,4,0
14.55,5,0
8.64,10,1
7.58,11,1
11.87,12,1
6.45,12,1
23.51,1,0
13.46,7,1
19.32,1,0
12.71,8,1
18.44,7,0
4.7,14,1
12.5,5,0
16.73,1,0
17.92,2,0
5.13,11,1
10.77,9,1
21.87,1,0
19.04,1,0
8.9,10,1
17.67,1,0
9.47,12,1
7.75,10,1
22.47,1,0
22.59,1,0
5.71,15,1
14.36,6,0
16.5,6,0
10.0,12,1
4.18,15,1
4.16,15,1
6.05,11,1
15.17,6,0
20.08,2,0
5.64,11,1
10.71,8,1
10.94,7,0
4.61,14,1
19.43,2,0
11.14,8,1
19.23,0,0
9.72,6,1
19.53,1,0
18.13,2,0
16.78,2,0
9.88,10,1
9.17,11,1
9.62,9,1
2.61,15,1
17.99,6,0
14.45,5,0
6.78,13,1
18.67,4,0
12.61,14,1
17.33,0,0
6.35,14,1
17.94,1,0
5.56,13,0
10.64,8,0
2.85,15,1
18.81,1,0
8.74,8,1
7.35,15,1
12.26,8,1
11.4,9,1
8.63,11,1
12.45,7,0
11.16,10,1
8.91,9,1
5.77,13,1
17.6,0,0
14.0,4,0
1.52,14,1
9.32,13,1
11.79,7,0
13.02,9,1
17.98,4,0
14.61,3,0
10.87,7,0
19.82,5,0
14.75,9,1
18.77,1,0
5.9,15,1
3.95,15,1
10.39,11,1
10.52,8,1
11.29,5,0
5.15,13,1
9.77,10,1
15.3,2,0
6.2,14,1
5.51,12,1
4.19,15,1
10.82,12,1
11.29,9,1
13.71,6,0
7.77,14,1
7.97,13,1
22.21,1,0
18.68,1,0
13.49,5,0
5.24,12,1
4.33,15,1
19.67,3,0
13.69,10,1
16.21,5,0
1.86,14,1
9.53,13,1
3.75,12,1
14.77,7,0
13.04,6,0
17.3,3,0
16.49,1,0
9.37,13,1
4.88,12,1
3.67,16,1
3.05,14,1
8.16,9,0
8.65,11,1
9.44,14,1
12.59,13,1
16.48,4,0
15.48,7,1
18.53,2,0
6.69,14,1
10.22,9,1
16.96,3,0
11.0,10,1
9.57,10,1
14.47,6,0
18.18,1,0
11.58,10,1
10.06,8,1
8.31,12,1
16.02,8,0
9.55,13,1
14.42,8,0
11.63,9,1
7.49,13,1
15.95,5,0
21.11,2,0
15.67,0,0
6.04,11,1
13.31,10,1
8.89,11,1
15.46,3,0
15.45,2,0
18.67,0,0
11.94,5,0
15.33,9,1
14.07,7,0
13.32,6,0
7.61,14,1
16.7,5,0
14.18,8,0
10.39,11,1
12.79,6,0
10.07,9,1
8.6,13,1
4.7,15,1
17.78,2,0
6.9,14,1
14.19,7,0
12.57,3,0
14.54,7,0
4.83,15,1
14.03,8,0
16.62,5,0
13.71,9,1
19.1,3,0
21.56,2,0
20.95,3,0
18.66,1,0
17.79,2,0
19.66,3,0
11.85,10,1
16.65,2,0
15.62,5,0
6.48,12,1
11.18,7,0
12.57,10,1
17.53,3,0
21.21,2,0
16.14,1,0
16.35,2,0
15.89,4,0
19.62,2,0
19.47,1,0
18.81,1,0
10.83,7,0
14.59,3,0
15.18,5,0
9.72,8,0
8.58,10,1
20.41,0,0
6.04,12,1
13.79,10,1
21.22,1,0
3.75,14,1
4.32,14,1
14.51,1,0
14.28,5,0
9.44,12,1
7.95,11,1
18.15,3,0
13.82,4,0
16.04,6,1
11.62,7,0
10.75,9,1
14.28,5,0
10.52,7,1
6.48,11,1
21.39,1,0
17.01,4,0
11.4,11,1
7.22,13,1
12.61,8,0
8.57,7,0
17.85,1,0
13.23,7,0
15.92,8,0
17.74,3,0
19.03,3,0
15.54,6,0
18.28,0,0
15.4,4,0
17.3,3,0
13.21,5,0
17.43,2,0
6.23,12,1
14.31,9,1
5.65,11,1
10.57,12,1
10.65,7,1
15.95,1,0
14.3,8,1
12.66,9,1
11.33,11,1
15.13,6,0
22.21,2,0
16.86,4,0
14.24,6,0
11.0,10,1
13.93,9,0
13.1,5,0
3.9,15,1
10.3,9,1
12.23,3,0
18.75,2,0
13.93,3,0
16.42,4,0
19.32,2,0
16.25,3,0
19.08,4,0
14.48,3,0
8.93,14,1
20.15,2,0
8.7,8,1
19.27,6,1
5.14,15,1
16.56,1,0
11.22,6,0
5.02,15,1
6.76,13,1
7.95,12,1
15.54,4,0
18.7,2,0
9.2,10,1
2.19,14,1
11.35,8,0
6.69,9,1
16.51,5,0
6.5,11,1
17.52,3,0
17.77,5,0
11.72,7,0
14.51,7,0
15.5,4,0
21.78,1,0
10.11,10,1
13.99,4,0
12.66,9,0
16.81,2,0
11.1,7,0
11.06,8,1
19.13,0,0
17.64,5,1
14.12,1,0
19.1,1,0
6.4,14,1
15.55,5,0
10.47,12,1
16.03,4,0
9.41,10,1
9.78,12,1
11.26,9,1
12.15,7,1
14.85,5,0
13.46,5,0
4.83,13,1
6.48,12,1
8.23,14,1
11.69,2,0
9.83,11,1
5.99,14,1
13.92,3,0
19.62,1,0
9.83,11,1
12.56,9,1
2.07,12,1
20.64,2,0
6.6,12,1
18.35,3,0
19.03,2,0
15.78,2,0
9.1,12,1
9.25,10,1
8.01,8,1
16.95,6,0
5.29,13,1
12.4,6,0
6.94,13,1
13.96,7,0
14.23,6,0
14.16,8,1
12.8,5,0
7.3,11,1
12.23,8,0
20.31,4,0
6.28,14,1
16.41,6,0
11.92,9,1
5.44,13,1
10.14,10,1
17.91,2,0
7.11,14,1
13.33,10,1
15.7,4,0
20.29,2,0
6.16,12,1
9.87,9,1
10.55,8,1
7.22,14,1
7.45,12,1
19.18,2,0
13.46,5,0
16.36,5,0
10.21,11,1
15.37,1,0
15.69,9,1
8.0,11,1
2.8,13,1
15.18,6,0
7.75,13,1
18.18,2,0
9.29,12,1
19.58,3,0
14.64,6,0
8.94,12,1
17.54,2,0
20.11,4,0
6.21,11,1
9.48,11,1
10.51,10,1
11.22,10,1
10.17,8,0
12.74,3,0
15.13,5,0
17.84,3,0
9.35,13,1
8.71,9,1
16.3,6,1
17.8,8,1
5.04,15,1
15.12,2,0
10.39,9,1
12.44,8,0
11.96,9,1
18.55,0,0
10.03,13,1
3.79,14,1
8.04,9,1
11.76,11,1
1.61,14,1
8.98,11,1
23.95,2,0
11.33,9,1
8.66,9,1
13.52,6,0
8.85,11,1
6.31,14,1
7.44,14,1
11.16,7,1
21.68,1,0
5.72,15,1
8.87,12,1
16.87,2,0
8.76,14,1
6.44,13,1
12.77,8,1
9.26,9,1
12.02,6,1
20.55,1,0
14.08,5,0
6.25,12,1
18.64,0,0
16.4,5,0
12.77,6,0
11.7,8,0
6.23,13,1
10.97,5,0
11.85,5,0
9.61,11,1
11.74,7,1
18.74,3,0
15.15,6,0
19.33,2,0
20.99,2,0
12.36,8,1
15.01,6,0
5.11,14,1
19.47,6,0
15.26,9,1
10.54,11,1
20.58,0,0
12.77,10,1
17.04,3,0
4.27,14,1
19.52,2,0
13.94,6,1
19.09,2,0
3.38,15,1
9.03,7,1
11.54,9,1
20.8,2,0
8.3,11,1
19.72,4,0
5.12,14,1
14.81,3,0
17.01,3,0
19.29,1,0
14.46,6,0
9.98,8,0
21.75,1,0
12.3,12,1
13.12,6,0
14.63,8,0
11.28,7,0
16.14,7,0
13.7,8,1
19.4,3,0
17.24,3,0
1.16,12,1
4.52,14,1
13.15,6,0
13.98,4,0
10.58,10,1
13.03,6,0
17.97,1,0
15.54,3,0
7.83,12,1
12.36,10,1
18.27,1,0
15.64,3,0
15.62,4,0
10.6,10,1
20.62,0,0
12.35,1,0
10.04,12,1
20.19,2,0
8.11,10,1
14.48,3,0
17.61,1,0
14.84,4,0
9.61,10,1
3.27,13,1
5.31,13,1
17.12,6,0
8.12,10,1
19.41,3,0
16.31,5,0
2.94,14,1
21.08,0,0
18.48,1,0
15.97,3,0
20.09,1,0
18.23,3,0
12.67,9,1
16.04,6,0
7.43,13,1
4.99,12,1
13.93,6,1
21.99,4,0
15.75,6,0
15.88,8,1
18.77,4,0
11.12,9,1
14.46,6,0
11.65,8,1
9.98,6,0
15.62,5,0
8.19,14,1
7.35,11,1
18.72,1,0
8.68,13,1
10.87,7,1
5.68,12,1
5.97,12,1
11.98,6,1
17.09,1,0
14.17,4,0
14.71,8,1
8.67,10,1
16.38,3,0
16.9,2,0
9.83,13,1
7.86,15,1
13.84,9,1
18.04,2,0
15.45,5,0
17.34,0,0
10.17,14,1
16.71,2,0
12.68,8,0
18.01,4,0
10.58,8,1
12.3,9,1
9.08,13,1
20.36,3,0
18.9,0,0
15.37,2,0
5.49,14,1
7.31,13,1
11.16,9,1
10.21,9,1
6.21,10,1
18.31,3,0
10.23,14,1
14.65,6,0
15.47,6,1
13.36,8,1
20.09,1,0
19.37,2,0
9.72,11,1
18.13,1,0
9.36,9,1
15.82,4,0
14.79,6,1
15.04,4,0
15.29,5,0
10.09,11,1
17.21,5,0
14.07,9,1
13.02,7,0
7.43,10,1
5.26,14,1
9.1,11,1
13.1,4,0
22.31,0,0
16.35,4,0
11.84,8,1
21.96,1,0
11.29,8,0
12.2,9,1
14.77,5,0
8.07,11,1
16.86,2,0
22.2,1,0
8.33,11,1
13.97,6,1
5.92,10,1
15.84,6,0
18.41,4,0
7.91,13,1
7.55,12,1
10.38,11,1
20.5,4,0
7.62,10,0
16.15,6,0
16.8,1,0
6.2,14,1
17.45,2,0
4.89,14,1
13.29,6,0
14.95,3,0
13.93,8,0
3.32,14,1
10.1,11,1
7.25,12,1
7.78,10,1
10.02,10,1
4.15,13,1
16.33,3,0
9.81,7,1
17.6,3,0
3.34,16,1
4.94,15,1
20.0,1,0
7.87,11,1
6.01,14,1
14.26,3,0
12.74,9,1
9.8,14,1
25.08,1,0
9.72,11,1
17.12,5,0
2.57,13,1
8.44,14,1
7.39,14,1
11.92,7,0
9.54,12,1
6.82,14,1
14.3,5,0
8.52,13,1
17.32,1,0
13.1,9,1
14.44,3,0
16.09,2,0
17.03,1,0
11.07,10,1
13.67,5,0
6.43,11,1
17.81,0,0
15.21,4,0
9.55,8,0
5.84,13,1
19.44,5,0
8.89,9,1
6.06,13,1
10.03,9,1
15.66,4,0
20.88,0,0
8.84,13,1
19.07,1,0
4.41,13,1
14.61,7,0
5.72,14,1
11.48,12,1
0.54,14,1
15.13,4,0
12.33,11,1
13.26,6,0
12.35,8,0
11.18,9,0
5.78,13,1
4.61,15,1
7.8,11,1
12.48,6,0
16.14,6,0
9.86,11,1
16.92,3,0
19.96,2,0
14.15,4,0
14.14,4,0
14.35,5,0
16.5,3,0
17.25,1,0
18.73,0,0
4.15,15,1
17.83,6,1
8.69,5,0
9.45,10,1
20.18,4,0
5.99,14,1
9.71,12,1
18.86,1,0
12.4,7,0
2.33,12,1
6.24,15,1
11.44,7,0
9.2,9,0
16.5,3,1
8.62,14,1
21.33,3,0
6.29,14,1
9.33,9,1
8.53,10,1
13.25,7,0
20.11,3,0
16.86,3,0
11.93,3,0
18.54,3,0
10.28,12,0
11.58,5,0
19.49,1,0
6.37,14,1
6.6,13,1
4.5,14,1
7.11,16,1
16.58,3,0
11.09,6,0
4.53,12,1
12.08,10,0
18.92,3,0
7.94,12,1
15.75,4,0
15.58,3,0
9.79,9,1
10.24,9,1
7.06,9,0
17.16,1,0
6.22,13,1
17.24,4,0
17.98,2,0
8.26,13,1
8.36,14,1
9.18,13,1
8.8,12,1
10.2,10,1
9.78,9,1
20.18,1,0
17.23,6,0
15.09,5,0
19.94,4,0
6.1,11,1
10.25,8,1
20.49,1,0
17.23,4,0
12.38,11,1
18.83,1,0
5.5,13,1
12.15,8,0
9.73,7,0
8.86,9,1
9.57,13,1
16.53,6,0
10.56,10,1
8.07,9,1
15.28,3,0
4.37,13,1
10.39,12,1
8.96,9,1
5.07,12,1
7.05,13,1
8.09,11,1
10.41,12,1
8.07,11,1
7.0,10,1
6.42,9,1
8.65,11,1
16.5,3,0
3.93,14,1
9.3,13,1
20.9,0,0
7.56,13,1
20.8,2,0
16.3,5,1
7.2,11,1
15.51,2,0
9.37,13,1
8.31,13,1
12.73,7,0
18.21,0,0
16.91,4,0
9.24,9,1
5.08,15,1
13.42,9,0
14.78,4,0
7.34,10,1
9.8,8,0
10.29,12,1
18.9,1,0
8.33,12,1
10.86,7,1
6.53,14,1
13.17,5,0
11.12,10,1
4.56,14,1
16.67,1,0
4.67,14,1
8.93,10,1
18.88,1,0
15.96,5,0
2.0,10,1
17.37,0,0
10.48,9,1
17.82,5,0
8.53,9,1
19.64,0,0
9.92,13,1
2.77,15,1
6.25,15,1
7.15,11,1
17.04,2,0
7.02,11,1
18.17,0,0
25.11,0,0
16.83,4,0
14.87,7,1
9.43,12,1
6.54,10,1
14.1,7,1
18.04,4,0
3.34,15,1
15.54,6,1
14.64,7,0
21.25,2,0
7.24,12,1
7.4,10,1
15.97,3,0
21.64,2,0
6.14,10,1
6.05,10,1
16.08,4,0
4.85,14,1
17.75,2,0
15.41,6,0
4.74,15,1
9.96,6,0
14.51,10,1
12.04,6,0
13.77,5,0
7.45,15,1
13.09,6,0
6.46,14,1
17.52,3,0
18.97,3,0
18.87,0,0
13.26,10,0
10.2,5,0
8.55,13,1
11.22,7,1
8.22,15,1
17.5,3,0
5.62,13,1
9.68,12,1
10.22,11,1
8.61,12,1
6.53,11,1
9.64,10,0
18.02,2,0
19.43,1,0
7.69,14,1
6.72,9,1
8.72,13,1
12.2,8,1
16.56,2,0
16.64,3,0
9.29,10,1
6.34,6,1
15.59,3,0
10.87,8,0
20.1,1,0
9.66,9,1
15.53,5,0
11.12,12,1
17.33,5,0
14.98,6,1
18.83,0,0
20.0,2,0
13.64,6,0
12.41,7,0
11.82,9,1
14.43,4,0
12.56,10,1
6.78,14,1
9.54,11,1
22.32,1,0
14.86,8,0
15.61,1,0
17.26,4,0
6.9,15,1
19.65,2,0
10.29,9,0
9.41,9,1
11.45,11,1
10.08,8,1
19.25,0,0
18.25,5,0
12.14,7,1
17.23,1,0
12.99,5,0
20.17,1,0
16.16,1,0
13.55,6,0
18.68,2,0
14.09,9,1
10.99,10,1
6.56,12,1
19.35,3,0
16.89,3,0
15.96,2,0
10.11,9,1
12.28,11,1
19.86,0,0
5.98,15,1
22.49,1,0
9.02,9,1
6.79,10,1
3.7,13,1
10.03,11,1
8.31,12,1
17.99,5,0
8.26,12,1
17.99,2,0
6.58,14,1
12.02,8,0
4.4,13,1
18.64,7,1
11.39,10,1
12.52,8,0
10.26,11,1
20.19,1,0
18.81,1,0
15.03,3,0
18.81,3,0
7.69,12,1
15.09,4,0
8.2,15,1
15.53,5,0
18.73,2,0
10.94,12,1
10.16,10,1
13.16,6,1
13.29,9,1
7.76,11,1
16.68,3,0
5.31,15,1
3.47,15,1
14.88,9,1
14.19,3,0
7.2,11,1
21.55,1,0
20.97,0,0
14.08,4,0
14.28,7,1
9.91,13,1
9.03,11,1
14.06,11,1
10.17,7,0
16.2,6,0
16.77,6,0
6.97,14,1
18.99,1,0
6.41,14,1
12.21,8,1
15.05,6,0
10.33,11,1
14.78,7,1
4.86,13,1
6.03,14,1
11.79,7,1
15.08,4,0
13.15,9,1
6.53,13,1
22.05,3,0
11.04,10,1
10.65,10,1
9.22,11,1
16.75,2,0
9.15,10,1
8.62,14,1
17.53,3,0
14.85,3,0
3.58,15,1
16.38,3,0
7.33,13,1
15.0,7,0
13.61,3,0
6.3,13,1
13.61,7,1
8.61,8,0
12.94,6,0
9.75,9,1
15.96,2,0
14.52,6,0
5.14,14,1
15.02,5,0
11.0,10,1
18.57,6,0
11.68,12,1
14.19,2,0
6.61,14,1
12.84,7,0
16.77,4,0
18.1,1,0
17.69,2,0
12.51,8,1
13.79,5,0
5.77,12,1
12.64,7,0
16.74,3,0
11.94,9,1
11.11,10,1
16.51,2,0
18.05,2,0
21.37,0,0
11.29,12,1
9.93,10,1
12.44,7,1
7.72,13,1
5.62,12,1
10.83,9,0
8.47,13,1
18.2,4,0
17.78,2,0
16.39,3,0
17.49,0,0
13.44,8,1
5.8,14,1
18.86,1,0
17.44,2,0
13.09,8,1
5.1,14,1
16.57,5,0
11.6,8,1
22.56,1,0
20.71,2,0
3.42,14,1
5.66,15,1
18.62,0,0
5.07,14,1
14.42,9,1
6.37,13,1
13.9,7,0
13.35,8,0
10.67,8,1
8.29,9,1
15.49,2,0
17.78,1,0
9.68,6,0
10.52,10,1
21.08,3,0
10.19,10,1
2.62,15,1
17.31,1,0
8.99,10,1
11.31,6,1
8.7,13,1
18.96,3,0
7.3,10,1
8.88,13,1
8.88,14,1
13.56,10,1
18.27,8,1
8.93,9,1
12.61,13,1
10.73,9,1
18.36,1,0
6.69,14,1
8.49,10,1
10.65,10,1
14.12,3,0
9.64,10,1
16.66,6,0
10.12,10,1
18.68,1,0
11.08,10,1
7.35,15,1
15.97,1,0
6.51,15,1
13.36,7,1
7.27,13,1
10.38,12,1
9.11,9,0
6.9,11,1
2.95,14,1
12.84,6,0
17.76,5,0
9.74,10,1
5.2,12,1
7.59,12,1
5.06,12,1
11.22,6,0
8.51,12,1
15.85,2,0
14.06,8,1
19.77,0,0
15.3,5,0
13.95,5,0
15.6,6,0
11.13,10,1
14.84,6,0
14.4,6,1
16.01,4,0
15.49,5,0
15.92,2,0
18.91,2,0
10.4,9,0
9.06,10,1
9.33,9,1
13.98,6,1
16.92,6,0
9.39,14,1
9.7,8,0
15.39,8,1
18.98,0,0
16.08,5,0
12.48,6,0
14.3,6,0
11.92,9,1
9.03,8,1
12.1,9,1
11.22,11,1
7.46,12,1
11.95,10,1
5.29,14,1
21.43,0,0
12.63,3,0
24.72,0,0
13.28,10,1
5.96,14,1
12.4,4,0
6.67,13,1
16.21,1,0
6.87,14,1
15.55,5,0
16.6,1,0
14.95,8,1
17.76,4,0
17.68,4,0
15.41,4,0
5.12,12,1
13.87,8,1
14.79,5,0
8.07,9,1
11.96,11,1
20.11,5,0
13.71,7,0
22.49,2,0
17.47,3,0
9.02,10,1
16.02,3,0
15.4,8,0
7.8,11,1
19.87,2,0
10.37,8,1
15.23,3,0
7.62,15,1
11.99,7,0
7.1,12,1
14.01,8,0
22.54,1,0
11.79,9,0
4.42,15,1
9.95,8,1
7.87,12,1
7.38,13,1
14.6,3,0
18.27,3,0
11.01,10,1
10.4,5,0
5.54,13,1
5.49,13,1
14.55,5,0
20.23,4,0
8.77,11,1
14.2,4,0
8.1,12,1
12.94,7,0
10.64,9,1
19.73,1,0
13.06,10,0
13.17,8,0
14.48,9,0
19.3,2,0
7.53,12,1
11.48,14,1
17.4,4,0
16.89,1,0
22.95,0,0
14.53,10,1
10.83,9,0
10.79,9,1
16.18,4,1
15.57,5,0
13.64,9,1
13.69,8,0
5.39,15,1
20.95,3,0
8.95,10,1
16.0,6,0
13.0,6,0
10.1,10,1
9.39,11,1
5.02,16,1
17.32,1,0
21.13,2,0
7.67,11,1
9.84,9,1
20.13,4,0
20.76,1,0
13.94,1,0
5.46,13,1
13.5,2,0
13.25,5,0
10.32,4,0
14.4,5,0
16.67,1,0
12.33,8,1
15.74,1,0
8.16,12,1
15.66,3,0
14.9,9,1
9.62,13,1
11.81,10,1
11.35,7,0
19.11,5,1
11.9,5,0
7.15,10,1
4.92,15,1
14.58,10,1
11.23,9,1
8.67,11,1
10.14,8,1
20.99,0,0
13.47,8,1
7.21,14,1
16.11,2,0
8.24,10,1
14.4,4,0
12.13,8,1
16.39,2,0
10.89,7,0
7.81,12,1
13.81,5,1
8.95,10,1
9.0,12,1
6.25,14,1
15.9,4,0
14.38,6,0
15.73,2,0
5.32,15,1
6.4,14,1
8.89,9,0
9.36,13,1
10.42,8,1
10.83,9,1
20.99,1,0
10.52,12,1
18.15,1,0
6.88,12,1
10.16,12,1
10.72,11,1
18.22,0,0
13.86,5,0
11.91,4,0
14.91,6,0
18.52,1,0
8.22,14,1
12.41,9,0
18.09,5,0
12.65,5,0
15.57,7,1
9.93,8,0
13.82,8,1
3.29,15,1
13.02,7,1
1.15,15,1
6.69,13,1
17.75,3,0
5.0,14,1
16.15,2,0
9.43,12,1
14.08,6,0
5.85,13,1
7.06,13,1
13.18,12,1
10.46,12,1
17.75,5,0
19.66,1,0
14.29,6,0
12.6,2,0
8.22,10,1
13.85,5,0
1.62,15,1
8.07,9,0
3.7,12,1
17.94,2,0
8.71,13,1
8.37,14,1
13.52,7,1
8.98,9,1
4.66,12,1
13.86,3,0
9.92,7,1
12.24,6,0
17.48,2,0
12.46,6,0
19.66,0,0
19.15,0,0
17.99,3,0
7.83,14,1
9.4,8,0
6.35,15,1
13.48,7,1
14.66,5,0
14.18,7,0
15.17,7,1
16.52,2,0
10.02,10,0
17.32,3,0
10.16,10,1
11.42,10,1
18.28,2,0
22.74,1,0
5.23,12,1
12.86,7,0
17.31,1,0
6.29,15,1
15.9,1,0
10.27,10,1
3.98,14,1
14.94,3,0
14.97,2,0
17.25,2,0
17.62,5,0
18.43,1,0
10.87,11,1
22.39,1,0
12.89,8,1
3.93,15,1
8.72,12,1
9.68,10,1
14.4,5,0
7.6,10,1
13.95,8,0
12.84,6,0
18.4,2,0
4.63,13,1
14.13,7,1
15.56,3,0
14.2,6,0
15.54,7,0
9.17,12,1
8.95,11,1
4.92,11,1
25.82,0,0
17.25,6,0
